#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2005fd  0.263   1    1.054    0.059   -0.001    0.064   21.187    0.069    2.272   53632.293  0.371
    sn2005fe  0.217   1    0.648    0.044   -0.169    0.088   20.481    0.046    7.281   53623.803  0.337
    sn2005fh  0.119   1    1.571    0.015   -0.052    0.012   19.013    0.018   17.160   53632.723  0.087
    sn2005fb  0.184   1    1.662    0.039   -0.316    0.028   20.104    0.051    2.941   53633.919  0.188
    SDSS1688  0.359   1    0.814    0.066    0.022    0.075   21.823    0.102    1.465   53629.272  0.411
    sn2005fj  0.142   1    1.216    0.037    0.072    0.020   20.010    0.037    8.293   53626.152  0.256
    sn2005fo  0.263   1    1.522    0.071    0.038    0.059   21.190    0.061    0.917   53635.025  0.514
    sn2005fl  0.234   1    0.522    0.031    0.777    0.062   21.748    0.085    7.376   53623.456  0.309
    sn2005fm  0.153   1    1.465    0.019   -0.233    0.018   19.524    0.028    6.617   53635.967  0.126
    sn2005fn  0.095   0    1.571    0.019    0.020    0.010   18.729    0.030   19.876   53621.983  0.230
    sn2005fr  0.288   1    1.421    0.064   -0.303    0.069   21.286    0.053    1.008   53633.949  0.451
    sn2005fy  0.195   1    1.096    0.041    0.040    0.040   20.859    0.059    6.877   53633.304  0.235
    sn2005ey  0.148   1    1.607    0.016   -0.355    0.016   19.448    0.018    8.775   53630.825  0.122
    sn2005fp  0.213   1    1.066    0.064   -0.083    0.059   21.694    0.085    1.983   53634.837  0.436
    sn2005ft  0.180   1    1.311    0.025   -0.464    0.029   20.178    0.031    5.234   53636.121  0.174
    sn2005fi  0.265   1    1.534    0.036   -0.034    0.044   21.042    0.039    1.745   53639.228  0.315
    sn2005fu  0.191   1    1.099    0.034   -0.094    0.034   20.764    0.048   15.238   53635.773  0.235
    sn2005fs  0.340   1    1.707    0.087    0.121    0.064   21.743    0.067    1.105   53640.392  0.668
    sn2005fv  0.118   1    1.473    0.015    0.141    0.015   19.773    0.028    3.667   53638.904  0.119
    sn2005fw  0.144   1    1.527    0.018   -0.097    0.017   19.712    0.034    2.869   53639.714  0.146
    sn2005fa  0.161   1    1.799    0.030   -0.264    0.025   20.045    0.032    2.847   53637.035  0.201
    sn2005fx  0.290   1    1.168    0.049   -0.028    0.062   21.463    0.065    2.532   53634.871  0.440
    sn2005fz  0.124   1    1.425    0.013    0.248    0.021   20.182    0.038    2.664   53642.613  0.169
    sn2005go  0.265   1    1.350    0.050    0.161    0.048   21.217    0.044    1.741   53639.182  0.504
    sn2005gp  0.127   1    1.237    0.022    0.992    0.019   20.877    0.041   20.365   53640.043  0.232
    sn2005ga  0.174   1    1.428    0.022   -0.176    0.022   20.062    0.026    2.835   53646.953  0.130
