#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2005eg  0.191   1    1.114    0.056      NaN      NaN   20.307    0.234    0.667   53623.443  0.987
    sn2005ex  0.093   0    0.896    0.022      NaN      NaN   11.852    0.131   98.136   53613.967  0.711
    sn2005ez  0.130   1    0.535    0.018      NaN      NaN   20.371    0.225    3.882   53623.646  0.268
    sn2005fg  0.258   1    0.479    0.047      NaN      NaN   22.146    0.337    2.997   53628.130  0.595
    sn2005fc  0.298   1    1.018    0.154      NaN      NaN   21.096    0.375    0.770   53623.053  4.636
    SDSS1166  0.382   0    0.956    0.427      NaN      NaN      NaN      NaN    0.395   53667.496  4.945
    sn2005ff  0.090   1    0.976    0.008      NaN      NaN   19.032    0.034    1.320   53634.610  0.077
    sn2005fd  0.263   1    0.834    0.057      NaN      NaN   18.902    0.452    1.960   53633.709  0.750
    sn2005fe  0.217   0    1.244    0.209      NaN      NaN   30.945    0.548   12.087   53620.983 10.668
    sn2005fh  0.119   1    1.088    0.012      NaN      NaN   19.094    0.035    2.500   53632.545  0.151
    sn2005fb  0.184   1    1.115    0.042      NaN      NaN   19.685    0.211    1.398   53633.339  0.485
    SDSS1688  0.359   0    0.633    0.124      NaN      NaN   23.291    0.339    1.627   53628.937  1.474
    sn2005fj  0.142   1    1.053    0.053      NaN      NaN   19.755    0.203    0.871   53624.744  1.197
    sn2005fo  0.263   1    1.125    0.097      NaN      NaN   21.241    0.312    0.606   53635.184  1.121
    sn2005fl  0.234   1    0.575    0.076      NaN      NaN   20.630    0.449    4.803   53624.668  1.443
    sn2005fm  0.153   1    0.995    0.027      NaN      NaN   19.452    0.173    2.520   53635.741  0.306
    sn2005fn  0.095   0    1.109    0.014      NaN      NaN   18.555    0.038    2.473   53619.358  0.489
    sn2005fr  0.288   1    0.965    0.070      NaN      NaN   21.936    0.234    0.569   53633.377  1.105
    sn2005fy  0.195   1    0.612    0.037      NaN      NaN   19.706    0.328    4.334   53632.733  0.373
    sn2005ey  0.148   1    1.133    0.027      NaN      NaN   19.435    0.153    2.049   53630.317  0.428
    sn2005fp  0.213   1    0.663    0.067      NaN      NaN   21.296    0.410    1.256   53633.519  0.840
    sn2005ft  0.180   1    0.679    0.023      NaN      NaN   19.848    0.228    8.461   53634.042  0.288
    sn2005fi  0.265   1    0.996    0.060      NaN      NaN   21.201    0.238    0.743   53639.107  0.791
    sn2005fu  0.191   1    0.969    0.047      NaN      NaN   20.795    0.204    1.172   53635.742  0.967
    sn2005fs  0.340   1    1.286    0.128      NaN      NaN   21.387    0.285    1.262   53639.337  1.584
    sn2005fv  0.118   1    0.995    0.012      NaN      NaN   19.756    0.042    1.000   53638.247  0.161
    sn2005fw  0.144   1    1.087    0.025      NaN      NaN   19.763    0.160    0.844   53639.607  0.367
    sn2005fa  0.161   1    1.212    0.035      NaN      NaN   20.209    0.177    1.439   53638.786  0.433
    sn2005fx  0.290   1    1.006    0.115      NaN      NaN   21.822    0.340    2.899   53631.571  1.603
    sn2005fz  0.124   1    0.870    0.020      NaN      NaN   19.877    0.064    1.582   53643.067  0.168
    sn2005go  0.265   1    0.918    0.054      NaN      NaN   19.436    0.436    1.572   53638.574  0.945
    sn2005gp  0.127   1    0.905    0.014      NaN      NaN   19.995    0.056    1.274   53640.204  0.220
    sn2005ga  0.174   1    0.985    0.042      NaN      NaN   19.738    0.211    0.707   53646.821  0.376
    sn2005gc  0.166   1    1.019    0.038      NaN      NaN   19.999    0.177    0.583   53647.767  0.354
    sn2005gs  0.251   1    0.891    0.031      NaN      NaN   21.396    0.259    0.873   53645.893  0.727
    sn2005hn  0.108   1    0.999    0.017      NaN      NaN   19.708    0.056    1.518   53650.875  0.271
    sn2005gd  0.161   1    0.903    0.029      NaN      NaN   20.153    0.159    0.947   53645.847  0.332
    sn2005gr  0.245   1    1.104    0.070      NaN      NaN   20.463    0.245    1.191   53645.103  0.790
    sn2005gf  0.250   1    0.913    0.045      NaN      NaN   20.539    0.256    0.826   53644.672  0.589
    sn2005gg  0.231   1    1.140    0.067      NaN      NaN   19.320    0.305    1.685   53648.200  0.736
