cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
9813,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9814,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9817,zSNIa,17,17,0,0.224795,53674.31033004646,1.9020431606951024e-09,nan,0.28140941224773997,7.525718904282519e-11,112.7443802676176,49,Minimization exited successfully.
9847,Unknown,0,17,0,0.777118,53666.65748260994,6.809422080419175e-10,nan,1.6070389743181295,7.075179610123145e-11,364.71488761100454,66,Minimization exited successfully.
9884,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9895,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9954,zSNIa,36,37,0,0.228429,53683.43691551353,1.5178941305436514e-09,nan,0.2555633264782955,3.028294518117892e-11,686.3196579183387,108,Minimization exited successfully.
9962,zSNIa,17,19,0,0.325121,53661.678894542456,5.042127141192485e-10,nan,0.8354712822692818,4.19575778788103e-11,60.832209815282376,53,Minimization exited successfully.
10028,SNIa?,21,21,0,0.065392,53682.4865768617,2.49225663995407e-08,nan,0.09479440269205952,1.9092067844228007e-10,987.4042576538651,40,Minimization exited successfully.
10036,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10037,zSNIa,21,21,0,0.253816,53669.68380991539,1.076705357287147e-09,nan,0.5951891636905202,7.904897953496256e-11,97.90452294486084,61,Minimization exited successfully.
10045,Unknown,19,20,0,0.116045,53682.16745977988,2.0706627337294665e-09,nan,0.4992051390254346,1.2985008141560078e-10,114.8254437259011,37,Minimization exited successfully.
10054,zSNII,22,22,0,0.078157,53673.01096944599,2.1715869503246103e-09,nan,0.32881857092070277,1.262428338084319e-10,146.4878715023762,42,Minimization exited successfully.
10058,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10066,zSNIa,0,21,0,0.442393,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10090,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10096,SNIa,22,23,0,0.077649,53683.76626921871,4.278515252477711e-09,nan,0.36723280949809123,1.3610205804061598e-10,196.13870209721114,43,Minimization exited successfully.
10106,SNIa?,45,47,0,0.1476,53677.36020485003,2.2183958016725464e-09,nan,0.21452387359386194,4.048024878910638e-11,487.54070830451667,137,Minimization exited successfully.
10113,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
