    INFO (2020-06-17 15:18:16,864): root - snid forcez=0.173827 emclip=0.173827 age=9.399999999906868 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmprr3yfhwz/15648_9.40.dat
   DEBUG (2020-06-17 15:18:17,915): root - Finished with target


    INFO (2020-06-17 15:18:17,915): root - Fetching data for <18298> (19 / 938)
   DEBUG (2020-06-17 15:18:17,986): root - Formatting table for <18298>
   DEBUG (2020-06-17 15:18:17,986): root - Fetching t0 for <18298>
    INFO (2020-06-17 15:18:17,987): root - Found t0 for <18298>. t0 = 2454374.9
    INFO (2020-06-17 15:18:18,002): root - Formatted table for <18298> has 1 spectra
    INFO (2020-06-17 15:18:18,008): root - snid forcez=0.118589 emclip=0.118589 age=9.600000000093132 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpw30kh5n3/18298_9.60.dat
   DEBUG (2020-06-17 15:18:19,115): root - Finished with target


    INFO (2020-06-17 15:18:19,115): root - Fetching data for <12927> (20 / 938)
   DEBUG (2020-06-17 15:18:19,205): root - Formatting table for <12927>
   DEBUG (2020-06-17 15:18:19,205): root - Fetching t0 for <12927>
    INFO (2020-06-17 15:18:19,206): root - Found t0 for <12927>. t0 = 2453989.2
    INFO (2020-06-17 15:18:19,231): root - Formatted table for <12927> has 1 spectra
    INFO (2020-06-17 15:18:19,237): root - snid forcez=0.188911 emclip=0.188911 age=3.2999999998137355 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpdfg7dnht/12927_3.30.dat
   DEBUG (2020-06-17 15:18:20,342): root - Finished with target


    INFO (2020-06-17 15:18:20,343): root - Fetching data for <15340> (21 / 938)
   DEBUG (2020-06-17 15:18:20,533): root - Formatting table for <15340>
   DEBUG (2020-06-17 15:18:20,533): root - Fetching t0 for <15340>
    INFO (2020-06-17 15:18:20,534): root - Found t0 for <15340>. t0 = 2454036.4
    INFO (2020-06-17 15:18:20,609): root - Formatted table for <15340> has 1 spectra
    INFO (2020-06-17 15:18:20,620): root - snid forcez=0.146121 emclip=0.146121 age=1.1000000000931323 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpwtyr47nu/15340_1.10.dat
   DEBUG (2020-06-17 15:18:21,711): root - Finished with target


    INFO (2020-06-17 15:18:21,711): root - Fetching data for <16392> (22 / 938)
   DEBUG (2020-06-17 15:18:22,042): root - Formatting table for <16392>
   DEBUG (2020-06-17 15:18:22,042): root - Fetching t0 for <16392>
    INFO (2020-06-17 15:18:22,043): root - t0 not available for <16392>
   DEBUG (2020-06-17 15:18:22,043): root - Finished with target


    INFO (2020-06-17 15:18:22,043): root - Fetching data for <18323> (23 / 938)
   DEBUG (2020-06-17 15:18:22,141): root - Formatting table for <18323>
   DEBUG (2020-06-17 15:18:22,141): root - Fetching t0 for <18323>
    INFO (2020-06-17 15:18:22,142): root - Found t0 for <18323>. t0 = 2454375.9
    INFO (2020-06-17 15:18:22,174): root - Formatted table for <18323> has 1 spectra
    INFO (2020-06-17 15:18:22,185): root - snid forcez=0.152714 emclip=0.152714 age=3.6000000000931323 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmp8osz3k1n/18323_3.60.dat
   DEBUG (2020-06-17 15:18:23,347): root - Finished with target


    INFO (2020-06-17 15:18:23,347): root - Fetching data for <19658> (24 / 938)
   DEBUG (2020-06-17 15:18:23,500): root - Formatting table for <19658>
   DEBUG (2020-06-17 15:18:23,500): root - Fetching t0 for <19658>
    INFO (2020-06-17 15:18:23,502): root - Found t0 for <19658>. t0 = 2454402.3
    INFO (2020-06-17 15:18:23,533): root - Formatted table for <19658> has 1 spectra
    INFO (2020-06-17 15:18:23,543): root - snid forcez=0.198625 emclip=0.198625 age=7.2000000001862645 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpfq_8p6c6/19658_7.20.dat
   DEBUG (2020-06-17 15:18:24,890): root - Finished with target


    INFO (2020-06-17 15:18:24,890): root - Fetching data for <1478> (25 / 938)
   DEBUG (2020-06-17 15:18:25,024): root - Formatting table for <1478>
   DEBUG (2020-06-17 15:18:25,024): root - Fetching t0 for <1478>
    INFO (2020-06-17 15:18:25,025): root - Found t0 for <1478>. t0 = 2453619.2
    INFO (2020-06-17 15:18:25,063): root - Formatted table for <1478> has 0 spectra
   DEBUG (2020-06-17 15:18:25,063): root - Finished with target


    INFO (2020-06-17 15:18:25,063): root - Fetching data for <18643> (26 / 938)
   DEBUG (2020-06-17 15:18:25,290): root - Formatting table for <18643>
   DEBUG (2020-06-17 15:18:25,291): root - Fetching t0 for <18643>
    INFO (2020-06-17 15:18:25,291): root - Found t0 for <18643>. t0 = 2454386.5
    INFO (2020-06-17 15:18:25,380): root - Formatted table for <18643> has 2 spectra
    INFO (2020-06-17 15:18:25,391): root - snid forcez=0.116845 emclip=0.116845 age=-5.0 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmp02gobu5g/18643_-5.00.dat
    INFO (2020-06-17 15:18:26,553): root - snid forcez=0.116845 emclip=0.116845 age=-2.0 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmps5bkozuj/18643_-2.00.dat
   DEBUG (2020-06-17 15:18:27,667): root - Finished with target


    INFO (2020-06-17 15:18:27,667): root - Fetching data for <1209> (27 / 938)
   DEBUG (2020-06-17 15:18:27,742): root - Formatting table for <1209>
   DEBUG (2020-06-17 15:18:27,742): root - Fetching t0 for <1209>
    INFO (2020-06-17 15:18:27,744): root - Found t0 for <1209>. t0 = 2453616.5
