objId,Phase,Redshift,subType,nSubType,percSubType,nType,percType,SDSSClass
14984,-0.7,0.1895,Ia-norm,190.0,81.89655172413794,232.0,100.0,SNIa
15031,2.2,0.0288,IIP,12.0,100.0,12.0,100.0,SNII
15129,2.1,0.2009,Ia-norm,8.0,88.88888888888889,9.0,100.0,SNIa
15132,-2.4,0.1509,Ia-norm,107.0,93.85964912280701,114.0,100.0,SNIa
15136,-0.6,0.1553,Ia-norm,24.0,58.536585365853654,41.0,100.0,SNIa?
15161,-1.5,0.2511,Ia-91T,15.0,75.0,20.0,100.0,SNIa
15170,-3.7,0.3946,Ia-pec,6.0,100.0,6.0,100.0,SNIa
15171,6.9,0.138,Ia-norm,8.0,80.0,10.0,100.0,SNIa
15201,-2.3,0.2231,Ia-norm,1.0,100.0,1.0,100.0,SNIa
15203,-2.9,0.2015,Ia-norm,44.0,84.61538461538461,52.0,100.0,SNIa
15213,7.7,0.3175,Ia-norm,11.0,84.61538461538461,13.0,100.0,SNIa
15217,3.1,0.3898,Ia-norm,3.0,100.0,3.0,100.0,SNIa
15219,-7.9,0.25,Ia-norm,66.0,98.50746268656717,67.0,100.0,SNIa
15229,-2.2,0.2325,Ia-norm,8.0,100.0,8.0,100.0,SNIa
15234,-8.7,0.141,Ia-91T,11.0,61.111111111111114,18.0,100.0,SNIa
15259,-2.2,0.2108,Ia-norm,52.0,82.53968253968253,63.0,100.0,SNIa
15320,-0.7,0.0593,IIP,19.0,100.0,19.0,95.0,SNII
15340,1.1,0.1466,Ia-pec,1.0,100.0,1.0,100.0,SNIa
15354,1.3,0.2207,Gal,4.0,57.14285714285714,7.0,100.0,SNIa
15356,6.7,0.2634,Ia-norm,4.0,100.0,4.0,100.0,SNIa
15365,-7.1,0.1853,Ia-91T,6.0,66.66666666666666,9.0,100.0,SNIa
15369,-5.0,0.2455,Ia-91T,1.0,100.0,1.0,100.0,SNIa
15421,-5.2,0.1875,Ia-norm,166.0,99.40119760479041,167.0,100.0,SNIa
15425,-8.0,0.1599,Ia-norm,5.0,41.66666666666667,12.0,100.0,SNIa
15433,1.6,0.217,Ia-norm,138.0,87.34177215189874,158.0,100.0,SNIa
15440,4.9,0.2667,Ia-norm,6.0,85.71428571428571,7.0,100.0,SNIa
15456,5.4,0.3819,Ia-norm,25.0,92.5925925925926,27.0,100.0,SNIa
15459,-4.5,0.1243,Ia-norm,36.0,83.72093023255815,43.0,100.0,SNIa
15461,-7.0,0.1804,Ia-norm,1.0,50.0,2.0,100.0,SNIa
15466,12.3,0.2582,Ia-norm,38.0,80.85106382978722,47.0,100.0,SNIa
15475,2.3,0.0281,Ia-91T,3.0,60.0,5.0,100.0,SNIc
15508,-4.5,0.1358,Ia-91T,6.0,75.0,8.0,100.0,SNIa
15583,-2.0,0.1869,Ia-norm,1.0,100.0,1.0,100.0,SNIa
15640,9.0,0.1669,Ia-norm,1.0,100.0,1.0,100.0,SNIa?
15648,9.4,0.1774,Ia-norm,337.0,85.75063613231552,393.0,98.00498753117208,SNIa
15674,14.7,0.1989,Ia-norm,3.0,100.0,3.0,100.0,SNIa
15704,7.7,0.3737,Ia-norm,173.0,84.80392156862744,204.0,100.0,SNIa
15776,5.2,0.3187,Ia-norm,4.0,100.0,4.0,100.0,SNIa
15872,-0.7,0.2127,Ia-91T,31.0,68.88888888888889,45.0,83.33333333333334,SNIa
16000,7.4,0.3945,Ia-norm,8.0,100.0,8.0,100.0,SNIa
16021,-2.2,0.1259,Ia-norm,13.0,86.66666666666667,15.0,100.0,SNIa
16032,5.6,0.2003,Ia-norm,262.0,85.34201954397395,307.0,97.77070063694268,SNIa
16069,13.3,0.1233,Ia-norm,4.0,100.0,4.0,100.0,SNIa
16072,8.0,0.2957,Ia-norm,4.0,100.0,4.0,100.0,SNIa
16073,6.5,0.1551,Ia-norm,89.0,89.8989898989899,99.0,100.0,SNIa
16087,12.9,0.0565,IIP,1.0,100.0,1.0,100.0,SNII
16099,-2.0,0.1975,Ia-norm,4.0,100.0,4.0,100.0,SNIa
16100,3.9,0.1955,Ia-norm,20.0,86.95652173913044,23.0,100.0,SNIa
16106,4.3,0.2582,Ia-norm,68.0,86.07594936708861,79.0,100.0,SNIa
16116,4.8,0.1597,Ia-norm,139.0,95.86206896551724,145.0,100.0,SNIa
16179,1.8,0.1205,Ia-91T,1.0,100.0,1.0,100.0,SNIc
16185,4.0,0.1027,Ia-norm,1.0,100.0,1.0,100.0,SNIa
16206,6.8,0.1608,Ia-norm,2.0,100.0,2.0,100.0,SNIa
16211,10.6,0.3156,Ia-norm,2.0,100.0,2.0,100.0,SNIa
16213,4.5,0.2559,Ia-norm,180.0,93.26424870466322,193.0,100.0,SNIa
16215,-1.0,0.0443,Ia-norm,102.0,100.0,102.0,100.0,SNIa
16232,11.8,0.3817,Ia-norm,4.0,100.0,4.0,100.0,SNIa
16259,4.6,0.1189,Ia-norm,65.0,98.48484848484848,66.0,100.0,SNIa
16276,-0.4,0.1991,Ia-norm,323.0,92.81609195402298,348.0,100.0,SNIa
16280,1.1,0.0376,Ia-norm,3.0,100.0,3.0,100.0,SNIa
16281,4.6,0.193,Ia-norm,2.0,100.0,2.0,100.0,SNIa
16287,2.4,0.1067,Ia-norm,156.0,100.0,156.0,100.0,SNIa
16314,3.4,0.0617,Ia-91T,14.0,56.00000000000001,25.0,100.0,SNIa
16333,2.9,0.0734,Ia-91T,23.0,60.526315789473685,38.0,100.0,SNIa
16350,6.0,0.239,Ia-norm,11.0,91.66666666666666,12.0,100.0,SNIa
16352,3.6,0.256,Ia-norm,3.0,100.0,3.0,100.0,SNIa
16357,1.2,0.369,Ia-norm,121.0,82.87671232876713,146.0,100.0,SNIa
16414,-0.9,0.3063,Ia-norm,139.0,73.93617021276596,188.0,100.0,SNIa
16421,9.9,0.3145,Ia-norm,1.0,100.0,1.0,100.0,SNIa
16442,-2.2,0.2842,Ia-norm,68.0,62.96296296296296,108.0,100.0,SNIa
16473,1.1,0.2204,Ia-norm,13.0,92.85714285714286,14.0,100.0,SNIa
16482,1.9,0.2104,Ia-norm,51.0,100.0,51.0,100.0,SNIa
16567,0.5,0.3692,Ia-norm,12.0,85.71428571428571,14.0,100.0,SNIa
16578,4.9,0.1786,Ia-91T,2.0,66.66666666666666,3.0,100.0,SNIa
16618,-5.1,0.1936,Ia-norm,59.0,66.29213483146067,89.0,100.0,SNIa
16631,1.1,0.2115,Ia-norm,410.0,87.79443254817987,467.0,100.0,SNIa
16637,0.1,0.2418,Ia-norm,115.0,85.82089552238806,134.0,100.0,SNIa
16644,10.5,0.2992,Ia-norm,25.0,92.5925925925926,27.0,100.0,SNIa
16758,3.3,0.3242,Ia-norm,2.0,100.0,2.0,100.0,SNIa
16779,10.8,0.4007,Ia-norm,8.0,88.88888888888889,9.0,100.0,SNIa
16781,4.3,0.3262,Ia-norm,27.0,90.0,30.0,100.0,SNIa
16789,6.0,0.3295,Ia-norm,17.0,89.47368421052632,19.0,100.0,SNIa
16953,2.9,0.3456,Ia-norm,20.0,95.23809523809523,21.0,100.0,SNIa
17168,-2.9,0.1858,Ia-norm,17.0,100.0,17.0,100.0,SNIa
17171,12.3,0.1625,Ia-norm,17.0,94.44444444444444,18.0,100.0,SNIa
17176,4.8,0.1027,Ia-pec,21.0,84.0,25.0,96.15384615384616,SNIa
17186,0.2,0.0761,Ia-norm,30.0,75.0,40.0,100.0,SNIa
17208,11.2,0.1435,Ia-norm,103.0,87.28813559322035,118.0,100.0,SNIa
17215,2.0,0.1791,Ia-norm,3.0,100.0,3.0,100.0,SNIa
17220,5.0,0.1833,Ia-norm,180.0,88.23529411764706,204.0,100.0,SNIa
17223,14.9,0.2413,Ia-norm,178.0,90.81632653061224,196.0,100.0,SNIa
17244,-5.0,0.0453,IIL,1.0,100.0,1.0,100.0,SNII
17274,0.9,0.1918,Ia-norm,20.0,100.0,20.0,100.0,SNIa
17366,0.5,0.1409,Ia-91T,20.0,76.92307692307693,26.0,100.0,SNIa
17389,8.0,0.1707,Ia-norm,10.0,76.92307692307693,13.0,100.0,SNIa
17422,5.7,0.1472,IIn,6.0,40.0,15.0,57.692307692307686,SNII
17464,2.1,0.2505,Ia-norm,284.0,93.72937293729373,303.0,100.0,SNIa
17528,8.1,0.3729,Ia-norm,3.0,75.0,4.0,100.0,SNIa
17552,4.7,0.2575,Ia-norm,2.0,66.66666666666666,3.0,100.0,SNIa
17568,1.9,0.1406,Ia-norm,70.0,92.10526315789474,76.0,100.0,SNIa
17605,9.6,0.1535,Ia-norm,17.0,77.27272727272727,22.0,100.0,SNIa
17629,-8.5,0.1389,Ia-norm,13.0,54.166666666666664,24.0,100.0,SNIa
17745,0.5,0.0633,Ia-norm,8.0,50.0,16.0,100.0,SNIa
17784,4.9,0.0357,Ia-norm,101.0,87.06896551724138,116.0,100.0,SNIa
17801,14.3,0.2024,Ia-norm,2.0,100.0,2.0,100.0,SNIa
17809,10.4,0.2898,Ia-norm,2.0,100.0,2.0,100.0,SNIa
17811,5.7,0.2053,Ia-norm,83.0,96.51162790697676,86.0,100.0,SNIa
17825,-6.1,0.1606,Ia-norm,19.0,100.0,19.0,100.0,SNIa
17875,0.7,0.2204,Ia-norm,112.0,84.84848484848484,132.0,100.0,SNIa
17880,0.7,0.0704,Ia-norm,45.0,100.0,45.0,100.0,SNIa
17884,11.0,0.2482,Ia-norm,28.0,96.55172413793103,29.0,100.0,SNIa
17886,12.8,0.0394,Ia-norm,33.0,100.0,33.0,100.0,SNIa
18030,7.8,0.164,Ia-norm,63.0,92.64705882352942,68.0,100.0,SNIa
18091,8.7,0.3699,Ia-norm,30.0,71.42857142857143,42.0,95.45454545454545,SNIa
18109,-6.3,0.0665,IIP,25.0,100.0,25.0,96.15384615384616,SNII
18241,-2.0,0.0936,Ia-norm,142.0,91.61290322580645,155.0,100.0,SNIa
18297,0.7,0.0675,IIP,4.0,100.0,4.0,80.0,SNII
18298,9.6,0.1302,Ia-91bg,13.0,81.25,16.0,76.19047619047619,SNIa
18299,1.3,0.1302,IIP,1.0,100.0,1.0,100.0,SNII
18321,2.4,0.0973,IIP,1.0,100.0,1.0,100.0,SNII
18323,3.6,0.1589,Ia-norm,156.0,95.70552147239265,163.0,100.0,SNIa
18325,11.3,0.2588,Ia-norm,46.0,82.14285714285714,56.0,100.0,SNIa
18375,7.6,0.1165,Ia-norm,2.0,100.0,2.0,100.0,SNIa
18408,2.5,0.0472,IIP,12.0,100.0,12.0,100.0,SNII
18415,-2.5,0.1289,Ia-norm,153.0,98.70967741935483,155.0,100.0,SNIa
18456,1.4,0.2245,Ia-91T,2.0,100.0,2.0,100.0,SNIa
18457,-0.3,0.082,Gal,1.0,100.0,1.0,100.0,SNII
18463,4.8,0.2583,Ia-norm,3.0,100.0,3.0,100.0,SNIa
18466,5.6,0.2178,Ia-norm,519.0,94.88117001828154,547.0,99.81751824817519,SNIa
18485,4.1,0.2855,Ia-91T,16.0,88.88888888888889,18.0,85.71428571428571,SNIa
18486,-6.1,0.2493,Ia-norm,219.0,82.33082706766918,266.0,100.0,SNIa
18590,3.3,0.0538,IIP,11.0,100.0,11.0,100.0,SNII
18602,-9.7,0.1423,Ia-norm,30.0,81.08108108108108,37.0,100.0,SNIa
18604,-4.4,0.1809,Ia-norm,154.0,89.53488372093024,172.0,100.0,SNIa
18612,-2.7,0.1182,Ia-norm,2.0,100.0,2.0,100.0,SNIa
18617,6.7,0.3223,Ia-norm,63.0,86.3013698630137,73.0,100.0,SNIa
18643,-2.0,0.1172,Gal,3.0,60.0,5.0,83.33333333333334,Unknown
18650,-4.8,0.1143,Ia-norm,119.0,72.5609756097561,164.0,100.0,SNIa
18697,-2.5,0.1047,Ia-norm,124.0,71.67630057803468,173.0,100.0,SNIa
18700,-1.7,0.0427,IIb,2.0,100.0,2.0,66.66666666666666,SNII
18734,0.0,0.054,IIP,4.0,100.0,4.0,66.66666666666666,SNII
18740,1.2,0.1561,Ia-norm,176.0,96.17486338797814,183.0,99.45652173913044,SNIa
