    INFO (2020-05-19 16:32:10,234): root - Formatted table for <5963> has 0 spectra
   DEBUG (2020-05-19 16:32:10,234): root - Finished with target


    INFO (2020-05-19 16:32:10,235): root - Fetching data for <15343> (20 / 938)
   DEBUG (2020-05-19 16:32:10,330): root - Formatting table for <15343>
   DEBUG (2020-05-19 16:32:10,330): root - Fetching t0 for <15343>
    INFO (2020-05-19 16:32:10,331): root - Found t0 for <15343>. t0 = 2454024.8
    INFO (2020-05-19 16:32:10,346): root - Formatted table for <15343> has 0 spectra
   DEBUG (2020-05-19 16:32:10,346): root - Finished with target


    INFO (2020-05-19 16:32:10,346): root - Fetching data for <16899> (21 / 938)
   DEBUG (2020-05-19 16:32:10,441): root - Formatting table for <16899>
   DEBUG (2020-05-19 16:32:10,441): root - Fetching t0 for <16899>
    INFO (2020-05-19 16:32:10,442): root - t0 not available for <16899>
   DEBUG (2020-05-19 16:32:10,442): root - Finished with target


    INFO (2020-05-19 16:32:10,442): root - Fetching data for <17168> (22 / 938)
   DEBUG (2020-05-19 16:32:10,533): root - Formatting table for <17168>
   DEBUG (2020-05-19 16:32:10,533): root - Fetching t0 for <17168>
    INFO (2020-05-19 16:32:10,534): root - Found t0 for <17168>. t0 = 2454357.4
    INFO (2020-05-19 16:32:10,550): root - Formatted table for <17168> has 1 spectra
    INFO (2020-05-19 16:32:10,551): root - Using template Ia
    INFO (2020-05-19 16:32:10,557): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/17168_-2.90.dat
   DEBUG (2020-05-19 16:32:14,031): root - Finished with target


    INFO (2020-05-19 16:32:14,032): root - Fetching data for <18647> (23 / 938)
   DEBUG (2020-05-19 16:32:14,145): root - Formatting table for <18647>
   DEBUG (2020-05-19 16:32:14,146): root - Fetching t0 for <18647>
    INFO (2020-05-19 16:32:14,147): root - Found t0 for <18647>. t0 = 2454377.2
    INFO (2020-05-19 16:32:14,170): root - Formatted table for <18647> has 0 spectra
   DEBUG (2020-05-19 16:32:14,170): root - Finished with target


