    INFO (2020-05-19 15:28:59,823): root - Found t0 for <18612>. t0 = 2454384.2
    INFO (2020-05-19 15:28:59,909): root - Formatted table for <18612> has 1 spectra
    INFO (2020-05-19 15:28:59,924): root - snid forcez=0.113643 emclip=0.113643 age=-2.7000000001862645 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/18612_-2.70.dat
   DEBUG (2020-05-19 15:29:01,933): root - Finished with target


    INFO (2020-05-19 15:29:01,934): root - Fetching data for <17237> (15 / 938)
   DEBUG (2020-05-19 15:29:02,094): root - Formatting table for <17237>
   DEBUG (2020-05-19 15:29:02,094): root - Fetching t0 for <17237>
    INFO (2020-05-19 15:29:02,095): root - t0 not available for <17237>
   DEBUG (2020-05-19 15:29:02,095): root - Finished with target


    INFO (2020-05-19 15:29:02,095): root - Fetching data for <14298> (16 / 938)
   DEBUG (2020-05-19 15:29:02,271): root - Formatting table for <14298>
   DEBUG (2020-05-19 15:29:02,271): root - Fetching t0 for <14298>
    INFO (2020-05-19 15:29:02,272): root - Found t0 for <14298>. t0 = 2454012.7
    INFO (2020-05-19 15:29:02,327): root - Formatted table for <14298> has 1 spectra
    INFO (2020-05-19 15:29:02,346): root - snid forcez=0.260699 emclip=0.260699 age=10.799999999813735 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/14298_10.80.dat
   DEBUG (2020-05-19 15:29:04,375): root - Finished with target


    INFO (2020-05-19 15:29:04,375): root - Fetching data for <16357> (17 / 938)
   DEBUG (2020-05-19 15:29:04,474): root - Formatting table for <16357>
   DEBUG (2020-05-19 15:29:04,474): root - Fetching t0 for <16357>
    INFO (2020-05-19 15:29:04,476): root - Found t0 for <16357>. t0 = 2454061.3
    INFO (2020-05-19 15:29:04,494): root - Formatted table for <16357> has 1 spectra
    INFO (2020-05-19 15:29:04,501): root - snid forcez=0.366399 emclip=0.366399 age=1.2000000001862645 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16357_1.20.dat
   DEBUG (2020-05-19 15:29:06,559): root - Finished with target


    INFO (2020-05-19 15:29:06,559): root - Fetching data for <15868> (18 / 938)
   DEBUG (2020-05-19 15:29:06,792): root - Formatting table for <15868>
   DEBUG (2020-05-19 15:29:06,792): root - Fetching t0 for <15868>
    INFO (2020-05-19 15:29:06,794): root - Found t0 for <15868>. t0 = 2454044.9
    INFO (2020-05-19 15:29:06,860): root - Formatted table for <15868> has 2 spectra
    INFO (2020-05-19 15:29:06,866): root - snid forcez=0.249733 emclip=0.249733 age=3.6000000000931323 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/15868_3.60.dat
    INFO (2020-05-19 15:29:08,855): root - snid forcez=0.249733 emclip=0.249733 age=8.600000000093132 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/15868_8.60.dat
   DEBUG (2020-05-19 15:29:10,871): root - Finished with target


    INFO (2020-05-19 15:29:10,872): root - Fetching data for <5959> (19 / 938)
   DEBUG (2020-05-19 15:29:10,970): root - Formatting table for <5959>
   DEBUG (2020-05-19 15:29:10,971): root - Fetching t0 for <5959>
    INFO (2020-05-19 15:29:10,972): root - Found t0 for <5959>. t0 = 2453667.2
