obj_id,z,z_err,num_points_desu,num_points_desg,t0,amplitude,t0_err,amplitude_err,chi,dof,message
des_01263369.dat,0.3125,0.001,0,0,56648.40568037512,1.3872710575557045e-10,0.32656542199038086,3.5552307373244386e-12,125.46796967966914,5,Minimization exited successfully.
des_01263715.dat,0.2919,0.001,0,0,56650.15465271182,1.860399588576302e-10,0.14043314624359482,3.7644172713159224e-12,186.81968510777642,5,Minimization exited successfully.
des_01275946.dat,0.2321,0.005,0,0,57245.066408837796,3.796666505197117e-10,0.10339048489186098,3.162153956324602e-12,701.4738920931178,14,Minimization exited successfully.
des_01279500.dat,0.235,0.005,0,0,57244.16829592105,7.810452416313076e-11,0.18830705110303825,1.015419604763882e-12,42.394282049025385,8,Minimization exited successfully.
des_01280217.dat,0.359,0.005,0,0,57240.750133737456,6.76930460779274e-11,0.5310115568245237,1.982860891606573e-12,143.6723394485465,26,Minimization exited successfully.
des_01281668.dat,0.3071,0.005,0,0,57254.88514224915,1.3519239867284554e-10,0.3489558844739804,2.9080771195619186e-12,234.93341519495604,16,Minimization exited successfully.
des_01281886.dat,0.384,0.005,0,0,57247.29874962511,7.841263067826588e-11,0.41909168660640717,2.5480340958221797e-12,248.0728244527236,30,Minimization exited successfully.
des_01282736.dat,0.3689,0.005,0,0,57247.59363909142,5.3503458428812797e-11,0.6541751694821869,2.001923911391523e-12,139.20540986176454,30,Minimization exited successfully.
des_01283373.dat,0.2075,0.001,0,0,57260.151060145115,1.7180596930395831e-10,1.4371218493433844,3.352180854228304e-12,26.94436498578962,10,Minimization exited successfully.
des_01283878.dat,0.3135,0.001,0,0,57248.65784083175,5.515036191564303e-11,0.49778623751262785,4.65951767973719e-12,2.075400945886351,11,Minimization exited successfully.
des_01283936.dat,0.369,0.005,0,0,57249.32070663996,3.835895415930269e-11,0.8807731239321583,1.9426066386698947e-12,102.97144331047403,36,Minimization exited successfully.
des_01285160.dat,0.7493,0.005,0,0,57246.8720355237,1.0171050584695879e-11,1.2856573459539504,4.268011108887105e-13,44.45925832713454,14,Minimization exited successfully.
des_01285317.dat,0.5649,0.005,0,0,57247.35114319342,2.6828820709304907e-11,1.1442757770782919,1.8138802685843404e-12,35.09494283807136,19,Minimization exited successfully.
des_01286398.dat,0.1503,0.001,0,10,57262.699275960316,1.231061615574129e-10,0.3148620086903975,2.323178935212895e-12,925.7491185628301,20,Minimization exited successfully.
des_01287626.dat,0.304,0.005,0,0,56667.60543220487,1.368206995917386e-10,0.28976848733145744,2.5493974362688896e-12,33.81651027566694,2,Minimization exited successfully.
des_01289288.dat,0.2897,0.001,0,0,57256.10106022569,9.830742905307665e-11,0.9362142072932329,5.102279403282518e-12,35.170420893834034,16,Minimization exited successfully.
des_01289555.dat,0.5588,0.005,0,0,57255.934310746845,2.992197285295745e-11,1.5523995878756978,1.6264522044810105e-12,35.04926282601834,16,Minimization exited successfully.
des_01289600.dat,0.4196,0.001,0,0,57264.75054960206,2.2692545490607575e-11,0.234443323850428,3.0626160250413114e-13,259.0172038396905,28,Minimization exited successfully.
des_01289656.dat,0.5394,0.005,0,0,57249.70285999201,2.6630946539369267e-11,1.3032563606248004,2.0462721949749747e-12,14.600191946269472,16,Minimization exited successfully.
des_01289664.dat,0.2491,0.005,0,0,57262.33171850495,1.777679216228053e-10,0.42035883011703845,2.544615376142145e-12,283.0449475288288,13,Minimization exited successfully.
des_01290779.dat,0.3895,0.01,0,0,56884.458530363074,3.297331698795973e-11,0.9221940705720044,1.4457235905778557e-12,56.117627940092376,16,Minimization exited successfully.
des_01290816.dat,0.2185,0.001,0,0,56889.03406645603,1.537126208253004e-10,0.33353745871863794,2.5982226925105797e-12,169.36959297334377,6,Minimization exited successfully.
des_01291080.dat,0.4438,0.005,0,0,56883.58233769712,1.927954398138847e-11,2.353169966783753,2.152560748709919e-12,15.7761683750816,9,Minimization exited successfully.
des_01291090.dat,0.292,0.001,0,0,56887.4682109098,2.6359260127060595e-10,0.9932124220613332,1.3642298556509144e-11,121.44196546577064,9,Minimization exited successfully.
des_01291794.dat,0.3951,0.001,0,0,57262.9424849851,7.300057915114316e-11,0.5012431296163413,2.866804623318161e-12,138.44434322026802,31,Minimization exited successfully.
des_01291957.dat,0.36,0.005,0,0,56883.220859153334,9.648893561595482e-11,0.19074815965723246,1.9990314121248863e-12,546.3004630007222,23,Minimization exited successfully.
des_01292145.dat,0.4925,0.005,0,0,57249.80388203008,2.0616331576120386e-11,1.4745993104879744,1.907716567437681e-12,24.23464855387025,15,Minimization exited successfully.
des_01292195.dat,0.8293,0.005,0,0,57261.4181216506,8.571406258752282e-12,1.3020409823984664,5.477559041508513e-13,27.23604180249595,16,Minimization exited successfully.
des_01292332.dat,0.2735,0.001,0,0,56887.376629728446,2.4558958053165076e-10,1.9947814897168428,2.930390709007074e-11,6.138988986577136,8,Minimization exited successfully.
des_01292336.dat,0.2336,0.001,0,0,56890.31668327661,1.8620792973475738e-10,2.4330813848646358,2.7023138115129795e-11,2.2902959181608633,8,Minimization exited successfully.
des_01292560.dat,0.2248,0.001,0,0,56898.96052975672,1.8524048299195394e-10,0.34981791054815403,4.063915638239898e-12,106.17197914132635,8,Minimization exited successfully.
des_01293319.dat,0.2969,0.0005,0,0,56896.091305180395,1.8708541428088102e-10,0.2989453320769826,3.750630632430062e-12,331.3858734398483,10,Minimization exited successfully.
des_01293758.dat,0.1472,0.001,0,7,56904.523932229524,9.80477307660323e-10,0.08263058501324849,1.910631568158161e-11,860.8702502891265,11,Minimization exited successfully.
des_01294014.dat,0.3627,0.001,0,0,56909.84387537718,7.014203606177262e-11,0.5554880418421817,1.7379896377783426e-12,219.8842854045186,16,Minimization exited successfully.
des_01294743.dat,0.3126,0.001,0,0,56898.174341174534,2.8059799078253304e-11,0.7753170793112076,2.0702091050687118e-12,11.314348126616302,8,Minimization exited successfully.
des_01295027.dat,0.4254,0.001,0,0,56893.080583064155,4.9534854443312e-11,0.47486871861838154,1.9674369246312808e-12,105.76743978324987,29,Minimization exited successfully.
des_01295256.dat,0.4425,0.007,0,0,56908.97207977667,4.326178244334152e-11,0.38219479629333364,1.392477584735663e-12,44.522075845935994,12,Minimization exited successfully.
des_01295305.dat,0.6117,0.006,0,0,56897.69832308321,1.1098047261119375e-11,0.850218224884884,5.842479431300936e-13,62.431086852507306,11,Minimization exited successfully.
des_01295921.dat,0.5239,0.007,0,0,56901.01375176724,1.8760789969357326e-11,2.4853444017717266,2.1208778931983613e-12,13.859376183284988,10,Minimization exited successfully.
des_01296273.dat,0.397,0.005,0,0,56910.488803118715,7.256348629616995e-11,0.4236395485131652,1.2734535034160764e-12,508.66231026453977,25,Minimization exited successfully.
des_01296321.dat,0.1844,0.001,0,0,56917.2561248635,2.2906053579180565e-10,0.27167729909706395,4.059688046107287e-12,167.4578803324688,9,Minimization exited successfully.
des_01296657.dat,0.1462,0.001,0,2,56923.29802895726,3.770782730438751e-10,0.3601798503223108,1.0751369278287209e-11,16.1877077293554,3,Minimization exited successfully.
des_01297026.dat,0.2585,0.001,0,0,56911.83327698815,5.275557850798098e-11,0.44266162449275726,1.1248257578797608e-12,109.53605822158696,10,Minimization exited successfully.
des_01297465.dat,0.2778,0.001,0,0,56918.68723793409,5.40708608878214e-11,0.118110952036659,5.883534428508093e-13,1021.8135681675999,10,Minimization exited successfully.
des_01298281.dat,0.2351,0.003,0,0,56915.53485058237,1.3940311140585722e-10,0.36171325452960446,3.106677817247671e-12,39.24535270545178,11,Minimization exited successfully.
des_01298893.dat,0.1962,0.001,0,0,56928.521502317504,1.706913272553187e-10,0.6131845764575701,6.317375166317517e-12,3.5481711822196833,2,Minimization exited successfully.
des_01299643.dat,0.38,0.005,0,0,56919.5524414615,7.852894071325945e-11,0.3291214834389393,1.7667316811294395e-12,837.4568874785568,27,Minimization exited successfully.
des_01299775.dat,0.1598,0.001,0,0,56941.021246831486,2.9330381016650326e-10,2.447182792431704,5.032268682467711e-11,3.499235658894841,2,Minimization exited successfully.
des_01299785.dat,0.3813,0.001,0,0,56929.17836114805,5.295239127429823e-11,0.6521782210693345,1.6330900542480718e-12,107.9348728646309,27,Minimization exited successfully.
des_01300516.dat,0.3104,0.005,0,0,56932.18497796172,1.350996937662005e-10,0.2407861287938431,3.019830970840597e-12,92.10353427885724,13,Minimization exited successfully.
des_01300912.dat,0.3376,0.001,0,0,56927.85425575617,3.0486264931405555e-11,0.18017785280608223,3.0675675330736106e-13,717.5795424313789,26,Minimization exited successfully.
des_01301933.dat,0.3299,0.005,0,0,56933.88572413861,5.419128014472793e-11,0.072705043690803,4.3694410855688127e-13,781.1931285505466,12,Minimization exited successfully.
des_01302058.dat,0.1984,0.001,0,0,56945.59409987028,4.4153100923325726e-10,0.28385147508015507,4.875921624249304e-12,387.2020065640687,9,Minimization exited successfully.
des_01302141.dat,0.6088,0.005,0,0,57262.6141904673,3.211824285746241e-11,0.927443390370172,2.738524508230689e-12,26.136356279442886,18,Minimization exited successfully.
des_01302187.dat,0.2195,0.001,0,0,56945.59086235637,9.954007051546378e-11,0.7968640564686211,8.498471691451398e-12,282.58585122833597,6,Minimization exited successfully.
des_01302523.dat,0.4239,0.001,0,0,57273.06448322025,2.776903397411129e-11,0.3407129206316313,5.624116672855553e-13,100.2686372475735,22,Minimization exited successfully.
des_01302648.dat,0.2319,0.001,0,0,56931.76520038889,2.0129302989419475e-10,0.24567248561652377,4.79568593286279e-12,71.56637126009895,9,Minimization exited successfully.
des_01303004.dat,0.2949,0.005,0,0,56945.80541748911,1.9519181225425215e-10,0.10969288681008038,2.6104819237458354e-12,503.3704973623083,15,Minimization exited successfully.
des_01303279.dat,0.1724,0.001,0,0,56951.355835994014,6.07038744006464e-10,0.5427525268787576,1.9041836951915484e-11,30.298143712954445,4,Minimization exited successfully.
