cid,z,z_err,num_points_desg,num_points_desr,num_points_desi,num_points_desz,num_points_desy,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,chi,dof,message
1306390,0.407,0.005,0,17,17,17,0,57280.492412657215,9.24261069655482e-06,-0.08986500063454808,0.18369371579939844,1.5973283676175924,8.532317114994101e-07,0.8774508628252189,0.09193597370824877,11.305223007822713,47,Minimization exited successfully.
1306537,0.4795,0.005,0,0,19,20,0,57288.11197518699,1.6144183618627952e-05,1.2438540036483954,-0.1570383101687785,0.649234174965386,1.9332343038317465e-06,0.7501709353028816,0.10301721625525022,51.901194700220586,35,Minimization exited successfully.
1306626,0.4095,0.005,0,18,18,20,0,57284.771504360455,1.9704623107377568e-05,0.37759783929223567,-0.06571069827331724,0.0005851210407854524,3.953036587442367e-07,0.23232582787024883,0.027590464987948267,45.16199560917475,52,Minimization exited successfully.
1306785,0.5787,0.005,0,0,11,12,0,57282.09447103287,7.063500730417286e-06,0.9808655412065372,0.17484143951029438,3.0507057672766678,1.5979203724254147e-06,3.077508744184823,0.2218891911668937,9.45165145616582,19,Minimization exited successfully.
1306980,0.5489,0.005,0,0,22,24,0,57281.37047584304,7.782810885924662e-06,-1.819355761444443,0.09347144001547504,1.597305909581337,2.0136807248521434e-06,0.9015225878249334,0.2426321664060952,29.165749534204785,42,Minimization exited successfully.
1306991,0.4217,0.001,0,18,17,20,0,57288.308388970494,1.8865589436755884e-05,-0.28507916441066367,-0.090479067859088,0.8157444521093566,2.030789612488012e-06,0.8092127605591309,0.09647994335464384,20.03335082009434,51,Minimization exited successfully.
1307277,0.4107,0.005,0,18,18,19,0,57284.2596537192,1.0670787330334027e-05,-0.2629211103544731,0.24450487491379813,0.9535251760935353,1.0984320172293036e-06,0.9141149249606955,0.0862209987249337,27.73391967968456,51,Minimization exited successfully.
1307830,0.3493,0.001,0,15,16,15,0,57286.23735376875,1.8655155938229228e-05,-1.7772748966163796,-0.06225509100765925,0.23627037208279944,4.956609976427621e-07,0.21323088028908183,0.028594751251899937,39.27578813642373,42,Minimization exited successfully.
1308314,0.4065,0.005,0,18,19,19,0,56977.87044628937,1.6505019677102387e-05,0.07264339461436863,-0.04712858324003635,0.3721378987102071,4.7074069473433714e-07,0.2863673827734269,0.02870229054561511,51.623551111029435,52,Minimization exited successfully.
1308326,0.3262,0.001,0,16,16,15,0,56976.35776631704,3.179896454502388e-05,0.24097734143341681,-0.05854719245568363,0.3002584031819424,8.95638720767115e-07,0.24626008880783143,0.026965326253829292,45.90607186036689,43,Minimization exited successfully.
1308568,0.6431,0.005,0,0,19,21,0,57291.37425588418,5.911198135491809e-06,1.9691209767068343,0.15808561205113336,1.5572429886342434,1.1815200753611625e-06,1.6045954742090187,0.18658356602517723,38.80222436086011,36,Minimization exited successfully.
1308582,0.3669,0.001,0,14,15,15,0,57287.723944026904,2.500108812692861e-05,-0.5067629219894355,-0.05332493187098522,0.4826020420587156,1.3243681918310593e-06,0.39098726276636003,0.047666434458039836,21.739955883850534,40,Minimization exited successfully.
