cid,class,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
20412,zSNII,0,0.0,54393.28447718078,4.125144293930559e-06,22.90358629322585,0.040147949465698655,nan,0.5170118946480216,8.856359695881505e-07,6.652544374972908,0.05630356126996694,257.8564078853336,81,Minimization exited successfully.
20414,Unknown,0,0.0,54415.98736714131,6.672357929707517e-06,0.303781644625133,-0.36589252588909604,nan,0.7961590787381283,6.651152213580067e-07,0.13749108336774166,0.019062791475942337,254.37056018169238,64,Minimization exited successfully.
20420,SNIb,0,0.0,54411.14087059471,2.2923728775577274e-05,-2.983882050644936,0.46573563816930885,nan,0.24841437765644514,6.671243704482212e-07,0.5189440633951933,0.027631697169645437,145.09007817551696,60,Minimization exited successfully.
20428,Variable,0,0.0,54413.75975759862,3.7787995947456805e-05,-1.4531131319682542,-0.15870469131349768,nan,0.22991945512330858,7.182573159017317e-07,0.3826471681538228,0.023182220952034302,308.4370664796352,74,Minimization exited successfully.
20430,SNIa,0,0.0,54415.103493277806,2.869101706796463e-05,0.1936222580997484,0.11630205417525893,nan,0.3052844765879854,6.372995748010958e-07,0.4387795730790857,0.021781091648492425,50.28609010031268,60,Minimization exited successfully.
20432,SNIa,0,0.0,54411.46511254349,1.1703828541225967e-05,3.42241649378817,0.15413065533991097,nan,0.8929102346701256,6.648563501581705e-07,1.1996602368618419,0.0415698334274246,48.278499384821316,81,Minimization exited successfully.
20434,zSNIa,0,0.0,54410.77121704742,8.945957759114217e-06,2.3936685115803455,0.10065817735755786,nan,1.299019938258425,5.821510804628671e-07,1.4629136930719693,0.0643212854251072,209.6589210975066,81,Minimization exited successfully.
20435,zSNIa,0,0.0,54403.261072226,9.501726181477192e-06,3.5983328247331277,0.10541998817302485,nan,1.7745065436356526,1.1793839463317566e-06,1.7646053335214382,0.0720982832637964,128.73249978151182,81,Minimization exited successfully.
20447,zSNIa,0,0.0,54399.67217154059,7.98295956447896e-06,6.025104929382576,-0.004645617330079829,nan,0.5710800259366806,1.2003085596374264e-06,2.1578930053618994,0.06022821042246823,54.324317359962045,71,Minimization exited successfully.
20448,zSNII,0,0.0,54413.42533023372,8.124700386884874e-06,5.4146142321357,-0.1285541636853533,nan,1.3573181388928788,6.599983937434528e-07,2.0739074773277073,0.050255007224855486,419.729294681375,71,Minimization exited successfully.
20450,zSNII,0,0.0,54439.461671098936,-0.00016285044384293306,-1.6225768843031934,-0.2106130893969229,nan,0.215150902964524,8.052182835527491e-05,0.5189289096248174,0.03188655358687145,658.7211883675668,60,Minimization exited successfully.
20452,Variable,0,0.0,54369.08513137824,4.857211255992708e-06,2.141413835556208,0.8058199112895121,nan,1.094260116253281,1.0197771121009794e-06,1.4811529515549886,0.14513044012000306,253.4075425173879,60,Minimization exited successfully.
20456,Unknown,0,0.0,54408.47068383998,5.6149017812473444e-06,12.39360214421377,-0.3151648023000591,nan,0.880687867760571,1.5350716851090136e-06,5.881478295777752,0.046058944389138656,245.61743627609724,59,Minimization exited successfully.
20458,AGN,0,0.0,54410.67925164911,7.880539673182342e-06,5.155859674965081,-0.2386849886383298,nan,0.6782046550033556,6.373120888216244e-07,2.09413823479696,0.043271929930899754,380.9496482050266,96,Minimization exited successfully.
20467,zSNIa,0,0.0,54408.01607683234,1.8178230441727055e-05,3.2753399236451797,0.007484604474177259,nan,0.42586098218816915,6.682370055024028e-07,0.6187193402973814,0.0352625166077108,148.39848532841847,93,Minimization exited successfully.
20470,SNIa,0,0.0,54419.04116479124,4.9865820341808946e-05,1.6273618553667721,0.19403571210370635,nan,0.3191713055384753,7.663120299897747e-07,0.3811477316414824,0.017801660983834122,124.20641804064567,72,Minimization exited successfully.
