cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2006ev,0,10,10,10,9,0,0,10,16,20,23,0,8,0,0,0.0287,1029.8837954497212,2.532647801682794e-06,6.245714191435057,0.1602584008583695,0,0.08836529603865984,2.0193670364073693e-08,0.18114500794365399,0.009634488251054566,9531.21889472467,45,Minimization exited successfully.
2006fw,2,6,6,6,5,0,0,6,0,0,0,0,0,0,0,0.0835,1009.3619491807024,2.2118281499847013e-06,28.031691612539863,-0.0006783089940131259,0,0.2339051408780506,9.709546461107139e-08,2.0554681553054444,0.050382961091047486,286.04516297016215,27,Minimization exited successfully.
2006gj,4,19,19,16,12,0,0,17,14,7,9,0,5,0,0,0.0284,1082.9089708818651,2.540043692119515e-06,13.292932344948829,0.4497252995097015,0,0.041804499472164025,3.6255694054183194e-08,0.28011503167178164,0.014078708339941796,53258996.04765523,83,Minimization exited successfully.
2006gt,4,12,13,12,11,0,0,12,9,2,10,0,8,0,0,0.0448,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.044800
    t0 = +979.520862
    x0 = -125762180983.199539
    x1 = -25403.342968
     c = -97368.844201
"
2006hb,9,26,27,27,28,0,0,26,20,12,15,0,0,0,0,0.0153,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.015300
    t0 = +1152.848687
    x0 = -1425749857423.718018
    x1 = -132856.797865
     c = -4531926.351042
"
2006hx,4,10,10,8,8,0,0,9,0,8,6,0,7,0,0,0.0455,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.045500
    t0 = +1062.758181
    x0 = -860363136.949166
    x1 = -121.502200
     c = +1924.521632
"
2006is,13,27,26,25,28,0,0,28,5,9,9,0,6,0,0,0.031,1098.5516801781232,2.5584496517510854e-06,31.902445063916108,-0.16965714708713642,0,0.1716950333461682,3.387170927133035e-07,3.081944009584521,0.06872943107736429,339025846.5918672,143,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2006kf,9,16,20,19,17,0,0,20,24,18,27,0,10,0,0,0.0213,1128.9550537539437,3.259721491992267e-06,6.277005414485184,0.10276966956185465,0,4.912302800612451,7.85031451212181e-07,3.9506714288337923,0.2778669743467406,234731292.82368422,97,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2006lu,6,26,26,17,21,0,0,27,2,0,0,0,3,0,0,0.0534,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.053400
    t0 = +997.934347
    x0 = +929139453.509540
    x1 = +142.276567
     c = +752.738399
"
2006mr,18,28,27,30,29,0,0,28,24,18,17,0,2,0,0,0.0059,1121.7790649213803,2.8145988316842127e-06,5.052884179906386,0.47347878962781476,0,0.009038536199568625,2.3388241754522115e-09,0.011569295869660394,0.000795120007332265,664769.5788692277,156,Minimization exited successfully.
2006ob,2,8,13,12,5,0,0,10,7,2,2,0,2,0,0,0.0592,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.059200
    t0 = +1080.469273
    x0 = +1105581797256.640869
    x1 = +61667.979163
     c = +1552612.026087
"
2006os,4,13,16,15,9,0,0,14,15,7,9,0,4,0,0,0.0328,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.032800
    t0 = +1153.151756
    x0 = +76199699538.020935
    x1 = +9481.567949
     c = +146578.705935
"
2006ot,5,11,17,16,13,0,0,14,23,4,11,0,4,0,0,0.0531,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.053100
    t0 = +1081.018934
    x0 = +6566601948851.448242
    x1 = +224396.675478
     c = +3100171.220039
"
2006py,3,6,7,7,6,0,0,6,0,0,0,0,0,0,0,0.0579,1079.3294800937347,3.0046659835994284e-06,5.045251513649111,0.06824166402446055,0,0.36424210189557016,5.900638321987537e-08,0.2504178442779896,0.025249926254338168,187.08645364875204,31,Minimization exited successfully.
2007A,5,6,8,10,8,0,0,8,18,3,10,0,0,0,0,0.0177,1119.8275782682654,2.799847887867936e-06,6.443375244065558,0.03602282462680398,0,0.23096494470280504,6.190300463842804e-08,0.2723215317665187,0.0294189847197001,240.49102422693892,41,Minimization exited successfully.
2007N,3,20,21,22,20,0,0,22,20,14,14,0,9,0,0,0.0129,1108.1457870180834,0.00010507132994031243,-4.008187062275091,-1.541526352401704,0,1.3182337966100022e-05,2.7480725483671985e-07,0.0037427511389987486,0.003584424778862708,8595183.279093865,104,Minimization exited successfully.
