    INFO (2020-05-18 22:35:45,961): root - No recorded type for <20718>
   DEBUG (2020-05-18 22:35:45,962): root - Finished with target


    INFO (2020-05-18 22:35:45,962): root - Fetching data for <13025> (17 / 938)
   DEBUG (2020-05-18 22:35:46,216): root - Formatting table for <13025>
   DEBUG (2020-05-18 22:35:46,217): root - Fetching t0 for <13025>
    INFO (2020-05-18 22:35:46,218): root - Found t0 for <13025>. t0 = 2453991.1
    INFO (2020-05-18 22:35:46,295): root - Formatted table for <13025> has 1 spectra
    INFO (2020-05-18 22:35:46,295): root - Using template Ia
    INFO (2020-05-18 22:35:46,321): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/13025_4.40.dat
   DEBUG (2020-05-18 22:35:50,494): root - Finished with target


    INFO (2020-05-18 22:35:50,494): root - Fetching data for <3535> (18 / 938)
   DEBUG (2020-05-18 22:35:50,597): root - Formatting table for <3535>
   DEBUG (2020-05-18 22:35:50,597): root - Fetching t0 for <3535>
    INFO (2020-05-18 22:35:50,599): root - Found t0 for <3535>. t0 = 2453638.8
    INFO (2020-05-18 22:35:50,619): root - Formatted table for <3535> has 0 spectra
   DEBUG (2020-05-18 22:35:50,620): root - Finished with target


    INFO (2020-05-18 22:35:50,621): root - Fetching data for <8679> (19 / 938)
   DEBUG (2020-05-18 22:35:50,767): root - Formatting table for <8679>
   DEBUG (2020-05-18 22:35:50,768): root - Fetching t0 for <8679>
    INFO (2020-05-18 22:35:50,769): root - Found t0 for <8679>. t0 = 2453685.7
    INFO (2020-05-18 22:35:50,809): root - Formatted table for <8679> has 1 spectra
    INFO (2020-05-18 22:35:50,810): root - Using template II
    INFO (2020-05-18 22:35:50,822): root - snid usetype=II rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/8679_-6.20.dat
   DEBUG (2020-05-18 22:35:51,635): root - Finished with target


    INFO (2020-05-18 22:35:51,635): root - Fetching data for <6696> (20 / 938)
   DEBUG (2020-05-18 22:35:51,790): root - Formatting table for <6696>
   DEBUG (2020-05-18 22:35:51,790): root - Fetching t0 for <6696>
    INFO (2020-05-18 22:35:51,792): root - Found t0 for <6696>. t0 = 2453675.1
    INFO (2020-05-18 22:35:51,827): root - Formatted table for <6696> has 1 spectra
    INFO (2020-05-18 22:35:51,827): root - No recorded type for <6696>
   DEBUG (2020-05-18 22:35:51,827): root - Finished with target


    INFO (2020-05-18 22:35:51,827): root - Fetching data for <12778> (21 / 938)
   DEBUG (2020-05-18 22:35:51,941): root - Formatting table for <12778>
   DEBUG (2020-05-18 22:35:51,941): root - Fetching t0 for <12778>
    INFO (2020-05-18 22:35:51,942): root - Found t0 for <12778>. t0 = 2453969.2
    INFO (2020-05-18 22:35:51,965): root - Formatted table for <12778> has 0 spectra
   DEBUG (2020-05-18 22:35:51,966): root - Finished with target


    INFO (2020-05-18 22:35:51,966): root - Fetching data for <12927> (22 / 938)
   DEBUG (2020-05-18 22:35:52,078): root - Formatting table for <12927>
   DEBUG (2020-05-18 22:35:52,079): root - Fetching t0 for <12927>
    INFO (2020-05-18 22:35:52,080): root - Found t0 for <12927>. t0 = 2453989.2
    INFO (2020-05-18 22:35:52,104): root - Formatted table for <12927> has 1 spectra
    INFO (2020-05-18 22:35:52,105): root - Using template Ia
    INFO (2020-05-18 22:35:52,113): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/12927_3.30.dat
   DEBUG (2020-05-18 22:35:56,349): root - Finished with target


    INFO (2020-05-18 22:35:56,350): root - Fetching data for <17627> (23 / 938)
   DEBUG (2020-05-18 22:35:56,475): root - Formatting table for <17627>
   DEBUG (2020-05-18 22:35:56,475): root - Fetching t0 for <17627>
    INFO (2020-05-18 22:35:56,476): root - t0 not available for <17627>
   DEBUG (2020-05-18 22:35:56,476): root - Finished with target


    INFO (2020-05-18 22:35:56,476): root - Fetching data for <13046> (24 / 938)
   DEBUG (2020-05-18 22:35:56,587): root - Formatting table for <13046>
   DEBUG (2020-05-18 22:35:56,587): root - Fetching t0 for <13046>
   ERROR (2020-05-18 22:35:56,588): root - t0 not available - unknown object Id <13046>
   DEBUG (2020-05-18 22:35:56,588): root - Finished with target


    INFO (2020-05-18 22:35:56,588): root - Fetching data for <15909> (25 / 938)
   DEBUG (2020-05-18 22:35:56,741): root - Formatting table for <15909>
   DEBUG (2020-05-18 22:35:56,741): root - Fetching t0 for <15909>
    INFO (2020-05-18 22:35:56,743): root - Found t0 for <15909>. t0 = 2454042.1
    INFO (2020-05-18 22:35:56,784): root - Formatted table for <15909> has 0 spectra
   DEBUG (2020-05-18 22:35:56,784): root - Finished with target


    INFO (2020-05-18 22:35:56,784): root - Fetching data for <16116> (26 / 938)
   DEBUG (2020-05-18 22:35:56,876): root - Formatting table for <16116>
   DEBUG (2020-05-18 22:35:56,876): root - Fetching t0 for <16116>
    INFO (2020-05-18 22:35:56,877): root - Found t0 for <16116>. t0 = 2454053.7
    INFO (2020-05-18 22:35:56,894): root - Formatted table for <16116> has 1 spectra
    INFO (2020-05-18 22:35:56,894): root - Using template Ia
    INFO (2020-05-18 22:35:56,900): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/16116_4.80.dat
   DEBUG (2020-05-18 22:36:00,222): root - Finished with target


    INFO (2020-05-18 22:36:00,223): root - Fetching data for <17486> (27 / 938)
   DEBUG (2020-05-18 22:36:00,341): root - Formatting table for <17486>
   DEBUG (2020-05-18 22:36:00,341): root - Fetching t0 for <17486>
    INFO (2020-05-18 22:36:00,342): root - t0 not available for <17486>
   DEBUG (2020-05-18 22:36:00,342): root - Finished with target


    INFO (2020-05-18 22:36:00,342): root - Fetching data for <14599> (28 / 938)
   DEBUG (2020-05-18 22:36:00,586): root - Formatting table for <14599>
   DEBUG (2020-05-18 22:36:00,586): root - Fetching t0 for <14599>
    INFO (2020-05-18 22:36:00,587): root - Found t0 for <14599>. t0 = 2454021.2
    INFO (2020-05-18 22:36:00,654): root - Formatted table for <14599> has 3 spectra
    INFO (2020-05-18 22:36:00,655): root - Using template II
    INFO (2020-05-18 22:36:00,660): root - snid usetype=II rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/14599_-4.70.dat
    INFO (2020-05-18 22:36:01,349): root - Using template II
    INFO (2020-05-18 22:36:01,355): root - snid usetype=II rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/14599_-1.70.dat
    INFO (2020-05-18 22:36:02,058): root - Using template II
    INFO (2020-05-18 22:36:02,067): root - snid usetype=II rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/14599_3.30.dat
   DEBUG (2020-05-18 22:36:02,889): root - Finished with target


    INFO (2020-05-18 22:36:02,890): root - Fetching data for <3331> (29 / 938)
   DEBUG (2020-05-18 22:36:03,188): root - Formatting table for <3331>
   DEBUG (2020-05-18 22:36:03,188): root - Fetching t0 for <3331>
    INFO (2020-05-18 22:36:03,190): root - Found t0 for <3331>. t0 = 2453650.6
    INFO (2020-05-18 22:36:03,287): root - Formatted table for <3331> has 1 spectra
    INFO (2020-05-18 22:36:03,288): root - Using template Ia
    INFO (2020-05-18 22:36:03,314): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/3331_-11.10.dat
   DEBUG (2020-05-18 22:36:07,373): root - Finished with target


    INFO (2020-05-18 22:36:07,373): root - Fetching data for <13903> (30 / 938)
   DEBUG (2020-05-18 22:36:07,530): root - Formatting table for <13903>
   DEBUG (2020-05-18 22:36:07,530): root - Fetching t0 for <13903>
    INFO (2020-05-18 22:36:07,532): root - Found t0 for <13903>. t0 = 2453998.0
    INFO (2020-05-18 22:36:07,568): root - Formatted table for <13903> has 1 spectra
    INFO (2020-05-18 22:36:07,568): root - No recorded type for <13903>
   DEBUG (2020-05-18 22:36:07,568): root - Finished with target


    INFO (2020-05-18 22:36:07,569): root - Fetching data for <17280> (31 / 938)
   DEBUG (2020-05-18 22:36:07,661): root - Formatting table for <17280>
   DEBUG (2020-05-18 22:36:07,661): root - Fetching t0 for <17280>
    INFO (2020-05-18 22:36:07,662): root - t0 not available for <17280>
   DEBUG (2020-05-18 22:36:07,662): root - Finished with target


    INFO (2020-05-18 22:36:07,662): root - Fetching data for <18804> (32 / 938)
   DEBUG (2020-05-18 22:36:07,774): root - Formatting table for <18804>
   DEBUG (2020-05-18 22:36:07,774): root - Fetching t0 for <18804>
    INFO (2020-05-18 22:36:07,775): root - Found t0 for <18804>. t0 = 2454393.3
    INFO (2020-05-18 22:36:07,799): root - Formatted table for <18804> has 1 spectra
    INFO (2020-05-18 22:36:07,800): root - Using template Ia
    INFO (2020-05-18 22:36:07,809): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/18804_-5.80.dat
   DEBUG (2020-05-18 22:36:12,002): root - Finished with target


    INFO (2020-05-18 22:36:12,003): root - Fetching data for <5395> (33 / 938)
   DEBUG (2020-05-18 22:36:12,211): root - Formatting table for <5395>
   DEBUG (2020-05-18 22:36:12,212): root - Fetching t0 for <5395>
    INFO (2020-05-18 22:36:12,213): root - Found t0 for <5395>. t0 = 2453664.4
    INFO (2020-05-18 22:36:12,269): root - Formatted table for <5395> has 1 spectra
    INFO (2020-05-18 22:36:12,270): root - Using template Ia
    INFO (2020-05-18 22:36:12,276): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/5395_2.10.dat
   DEBUG (2020-05-18 22:36:15,431): root - Finished with target


    INFO (2020-05-18 22:36:15,432): root - Fetching data for <6614> (34 / 938)
   DEBUG (2020-05-18 22:36:15,531): root - Formatting table for <6614>
   DEBUG (2020-05-18 22:36:15,532): root - Fetching t0 for <6614>
    INFO (2020-05-18 22:36:15,533): root - Found t0 for <6614>. t0 = 2453666.7
    INFO (2020-05-18 22:36:15,550): root - Formatted table for <6614> has 0 spectra
   DEBUG (2020-05-18 22:36:15,550): root - Finished with target


    INFO (2020-05-18 22:36:15,550): root - Fetching data for <15897> (35 / 938)
   DEBUG (2020-05-18 22:36:15,640): root - Formatting table for <15897>
   DEBUG (2020-05-18 22:36:15,640): root - Fetching t0 for <15897>
    INFO (2020-05-18 22:36:15,641): root - Found t0 for <15897>. t0 = 2454042.2
    INFO (2020-05-18 22:36:15,655): root - Formatted table for <15897> has 0 spectra
   DEBUG (2020-05-18 22:36:15,655): root - Finished with target


    INFO (2020-05-18 22:36:15,655): root - Fetching data for <2689> (36 / 938)
   DEBUG (2020-05-18 22:36:15,891): root - Formatting table for <2689>
   DEBUG (2020-05-18 22:36:15,892): root - Fetching t0 for <2689>
    INFO (2020-05-18 22:36:15,893): root - Found t0 for <2689>. t0 = 2453637.4
    INFO (2020-05-18 22:36:15,972): root - Formatted table for <2689> has 1 spectra
    INFO (2020-05-18 22:36:15,973): root - Using template Ia
    INFO (2020-05-18 22:36:16,000): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/2689_0.10.dat
   DEBUG (2020-05-18 22:36:19,957): root - Finished with target


    INFO (2020-05-18 22:36:19,957): root - Fetching data for <16467> (37 / 938)
   DEBUG (2020-05-18 22:36:20,057): root - Formatting table for <16467>
   DEBUG (2020-05-18 22:36:20,057): root - Fetching t0 for <16467>
    INFO (2020-05-18 22:36:20,059): root - Found t0 for <16467>. t0 = 2454050.6
    INFO (2020-05-18 22:36:20,075): root - Formatted table for <16467> has 0 spectra
   DEBUG (2020-05-18 22:36:20,075): root - Finished with target


    INFO (2020-05-18 22:36:20,075): root - Fetching data for <16735> (38 / 938)
   DEBUG (2020-05-18 22:36:20,232): root - Formatting table for <16735>
   DEBUG (2020-05-18 22:36:20,232): root - Fetching t0 for <16735>
    INFO (2020-05-18 22:36:20,232): root - t0 not available for <16735>
   DEBUG (2020-05-18 22:36:20,233): root - Finished with target


    INFO (2020-05-18 22:36:20,233): root - Fetching data for <7143> (39 / 938)
   DEBUG (2020-05-18 22:36:20,329): root - Formatting table for <7143>
   DEBUG (2020-05-18 22:36:20,329): root - Fetching t0 for <7143>
    INFO (2020-05-18 22:36:20,330): root - Found t0 for <7143>. t0 = 2453678.3
    INFO (2020-05-18 22:36:20,349): root - Formatted table for <7143> has 1 spectra
    INFO (2020-05-18 22:36:20,349): root - Using template Ia
    INFO (2020-05-18 22:36:20,356): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/7143_-2.80.dat
   DEBUG (2020-05-18 22:36:24,748): root - Finished with target


    INFO (2020-05-18 22:36:24,748): root - Fetching data for <14593> (40 / 938)
   DEBUG (2020-05-18 22:36:24,912): root - Formatting table for <14593>
   DEBUG (2020-05-18 22:36:24,912): root - Fetching t0 for <14593>
    INFO (2020-05-18 22:36:24,914): root - Found t0 for <14593>. t0 = 2454008.9
    INFO (2020-05-18 22:36:24,955): root - Formatted table for <14593> has 0 spectra
   DEBUG (2020-05-18 22:36:24,956): root - Finished with target


    INFO (2020-05-18 22:36:24,956): root - Fetching data for <12820> (41 / 938)
   DEBUG (2020-05-18 22:36:25,283): root - Formatting table for <12820>
   DEBUG (2020-05-18 22:36:25,283): root - Fetching t0 for <12820>
    INFO (2020-05-18 22:36:25,284): root - t0 not available for <12820>
   DEBUG (2020-05-18 22:36:25,284): root - Finished with target


    INFO (2020-05-18 22:36:25,284): root - Fetching data for <17253> (42 / 938)
   DEBUG (2020-05-18 22:36:25,402): root - Formatting table for <17253>
   DEBUG (2020-05-18 22:36:25,402): root - Fetching t0 for <17253>
    INFO (2020-05-18 22:36:25,403): root - t0 not available for <17253>
   DEBUG (2020-05-18 22:36:25,403): root - Finished with target


    INFO (2020-05-18 22:36:25,403): root - Fetching data for <7335> (43 / 938)
   DEBUG (2020-05-18 22:36:25,500): root - Formatting table for <7335>
   DEBUG (2020-05-18 22:36:25,500): root - Fetching t0 for <7335>
    INFO (2020-05-18 22:36:25,501): root - Found t0 for <7335>. t0 = 2453675.7
    INFO (2020-05-18 22:36:25,519): root - Formatted table for <7335> has 1 spectra
    INFO (2020-05-18 22:36:25,520): root - No recorded type for <7335>
   DEBUG (2020-05-18 22:36:25,520): root - Finished with target


    INFO (2020-05-18 22:36:25,520): root - Fetching data for <5378> (44 / 938)
   DEBUG (2020-05-18 22:36:25,612): root - Formatting table for <5378>
   DEBUG (2020-05-18 22:36:25,612): root - Fetching t0 for <5378>
    INFO (2020-05-18 22:36:25,613): root - Found t0 for <5378>. t0 = 2453659.8
    INFO (2020-05-18 22:36:25,628): root - Formatted table for <5378> has 0 spectra
   DEBUG (2020-05-18 22:36:25,628): root - Finished with target


    INFO (2020-05-18 22:36:25,629): root - Fetching data for <7373> (45 / 938)
   DEBUG (2020-05-18 22:36:25,724): root - Formatting table for <7373>
   DEBUG (2020-05-18 22:36:25,724): root - Fetching t0 for <7373>
