    INFO (2020-05-18 10:25:16,577): root - Fetching data for <2246>
   DEBUG (2020-05-18 10:25:17,109): root - Formatting table for <2246>
   DEBUG (2020-05-18 10:25:17,109): root - Fetching t0 for <2246>
    INFO (2020-05-18 10:25:17,111): root - Found t0 for <2246>. t0 = 2453634.7
    INFO (2020-05-18 10:25:17,230): root - Formatted table for <2246> is empty
    INFO (2020-05-18 10:25:17,231): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2246_3.80_snid.output
   DEBUG (2020-05-18 10:25:17,245): root - Finished with target


    INFO (2020-05-18 10:25:17,245): root - Fetching data for <2308>
   DEBUG (2020-05-18 10:25:17,676): root - Formatting table for <2308>
   DEBUG (2020-05-18 10:25:17,676): root - Fetching t0 for <2308>
    INFO (2020-05-18 10:25:17,677): root - Found t0 for <2308>. t0 = 2453631.0
    INFO (2020-05-18 10:25:17,761): root - Formatted table for <2308> is empty
    INFO (2020-05-18 10:25:17,787): root - snid forcez=0.147025 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2308_6.50.dat
   DEBUG (2020-05-18 10:25:18,762): root - Finished with target


    INFO (2020-05-18 10:25:18,762): root - Fetching data for <2330>
   DEBUG (2020-05-18 10:25:19,074): root - Formatting table for <2330>
   DEBUG (2020-05-18 10:25:19,074): root - Fetching t0 for <2330>
    INFO (2020-05-18 10:25:19,075): root - Found t0 for <2330>. t0 = 2453635.9
    INFO (2020-05-18 10:25:19,128): root - Formatted table for <2330> is empty
    INFO (2020-05-18 10:25:19,146): root - snid forcez=0.211788 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2330_5.60.dat
   DEBUG (2020-05-18 10:25:20,112): root - Finished with target


    INFO (2020-05-18 10:25:20,112): root - Fetching data for <2372>
   DEBUG (2020-05-18 10:25:20,598): root - Formatting table for <2372>
   DEBUG (2020-05-18 10:25:20,598): root - Fetching t0 for <2372>
    INFO (2020-05-18 10:25:20,599): root - Found t0 for <2372>. t0 = 2453637.3
    INFO (2020-05-18 10:25:20,720): root - Formatted table for <2372> is empty
    INFO (2020-05-18 10:25:20,757): root - snid forcez=0.179585 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2372_0.20.dat
   DEBUG (2020-05-18 10:25:21,785): root - Finished with target


    INFO (2020-05-18 10:25:21,785): root - Fetching data for <2372>
   DEBUG (2020-05-18 10:25:22,297): root - Formatting table for <2372>
   DEBUG (2020-05-18 10:25:22,297): root - Fetching t0 for <2372>
    INFO (2020-05-18 10:25:22,298): root - Found t0 for <2372>. t0 = 2453637.3
    INFO (2020-05-18 10:25:22,426): root - Formatted table for <2372> is empty
    INFO (2020-05-18 10:25:22,426): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2372_0.20_snid.output
   DEBUG (2020-05-18 10:25:22,440): root - Finished with target


    INFO (2020-05-18 10:25:22,440): root - Fetching data for <2422>
   DEBUG (2020-05-18 10:25:22,619): root - Formatting table for <2422>
   DEBUG (2020-05-18 10:25:22,619): root - Fetching t0 for <2422>
    INFO (2020-05-18 10:25:22,620): root - Found t0 for <2422>. t0 = 2453639.9
    INFO (2020-05-18 10:25:22,677): root - Formatted table for <2422> is empty
    INFO (2020-05-18 10:25:22,695): root - snid forcez=0.263492 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2422_1.60.dat
   DEBUG (2020-05-18 10:25:23,662): root - Finished with target


    INFO (2020-05-18 10:25:23,662): root - Fetching data for <2440>
   DEBUG (2020-05-18 10:25:23,915): root - Formatting table for <2440>
   DEBUG (2020-05-18 10:25:23,915): root - Fetching t0 for <2440>
    INFO (2020-05-18 10:25:23,916): root - Found t0 for <2440>. t0 = 2453635.4
    INFO (2020-05-18 10:25:24,000): root - Formatted table for <2440> is empty
    INFO (2020-05-18 10:25:24,027): root - snid forcez=0.19029 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2440_3.10.dat
   DEBUG (2020-05-18 10:25:25,065): root - Finished with target


    INFO (2020-05-18 10:25:25,066): root - Fetching data for <2533>
   DEBUG (2020-05-18 10:25:25,179): root - Formatting table for <2533>
   DEBUG (2020-05-18 10:25:25,179): root - Fetching t0 for <2533>
    INFO (2020-05-18 10:25:25,180): root - Found t0 for <2533>. t0 = 2453640.6
    INFO (2020-05-18 10:25:25,200): root - Formatted table for <2533> is empty
    INFO (2020-05-18 10:25:25,206): root - snid forcez=0.338803 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2533_3.90.dat
   DEBUG (2020-05-18 10:25:26,139): root - Finished with target


    INFO (2020-05-18 10:25:26,140): root - Fetching data for <2561>
   DEBUG (2020-05-18 10:25:26,670): root - Formatting table for <2561>
   DEBUG (2020-05-18 10:25:26,671): root - Fetching t0 for <2561>
    INFO (2020-05-18 10:25:26,672): root - Found t0 for <2561>. t0 = 2453639.7
    INFO (2020-05-18 10:25:26,823): root - Formatted table for <2561> is empty
    INFO (2020-05-18 10:25:26,868): root - snid forcez=0.117406 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2561_-1.20.dat
   DEBUG (2020-05-18 10:25:27,901): root - Finished with target


    INFO (2020-05-18 10:25:27,901): root - Fetching data for <2561>
   DEBUG (2020-05-18 10:25:28,432): root - Formatting table for <2561>
   DEBUG (2020-05-18 10:25:28,432): root - Fetching t0 for <2561>
    INFO (2020-05-18 10:25:28,434): root - Found t0 for <2561>. t0 = 2453639.7
    INFO (2020-05-18 10:25:28,586): root - Formatted table for <2561> is empty
    INFO (2020-05-18 10:25:28,586): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2561_-1.20_snid.output
   DEBUG (2020-05-18 10:25:28,602): root - Finished with target


    INFO (2020-05-18 10:25:28,602): root - Fetching data for <2561>
   DEBUG (2020-05-18 10:25:29,137): root - Formatting table for <2561>
   DEBUG (2020-05-18 10:25:29,137): root - Fetching t0 for <2561>
    INFO (2020-05-18 10:25:29,138): root - Found t0 for <2561>. t0 = 2453639.7
    INFO (2020-05-18 10:25:29,291): root - Formatted table for <2561> is empty
    INFO (2020-05-18 10:25:29,292): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2561_-1.20_snid.output
   DEBUG (2020-05-18 10:25:29,307): root - Finished with target


    INFO (2020-05-18 10:25:29,307): root - Fetching data for <2561>
   DEBUG (2020-05-18 10:25:29,837): root - Formatting table for <2561>
   DEBUG (2020-05-18 10:25:29,837): root - Fetching t0 for <2561>
    INFO (2020-05-18 10:25:29,838): root - Found t0 for <2561>. t0 = 2453639.7
    INFO (2020-05-18 10:25:29,990): root - Formatted table for <2561> is empty
    INFO (2020-05-18 10:25:29,991): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2561_-1.20_snid.output
   DEBUG (2020-05-18 10:25:30,006): root - Finished with target


    INFO (2020-05-18 10:25:30,007): root - Fetching data for <2635>
   DEBUG (2020-05-18 10:25:30,560): root - Formatting table for <2635>
   DEBUG (2020-05-18 10:25:30,560): root - Fetching t0 for <2635>
    INFO (2020-05-18 10:25:30,561): root - Found t0 for <2635>. t0 = 2453640.8
    INFO (2020-05-18 10:25:30,696): root - Formatted table for <2635> is empty
    INFO (2020-05-18 10:25:30,721): root - snid forcez=0.143104 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2635_-2.30.dat
   DEBUG (2020-05-18 10:25:31,722): root - Finished with target


    INFO (2020-05-18 10:25:31,722): root - Fetching data for <2635>
   DEBUG (2020-05-18 10:25:32,285): root - Formatting table for <2635>
   DEBUG (2020-05-18 10:25:32,285): root - Fetching t0 for <2635>
    INFO (2020-05-18 10:25:32,287): root - Found t0 for <2635>. t0 = 2453640.8
    INFO (2020-05-18 10:25:32,426): root - Formatted table for <2635> is empty
    INFO (2020-05-18 10:25:32,426): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2635_-2.30_snid.output
   DEBUG (2020-05-18 10:25:32,438): root - Finished with target


    INFO (2020-05-18 10:25:32,438): root - Fetching data for <2689>
   DEBUG (2020-05-18 10:25:32,684): root - Formatting table for <2689>
   DEBUG (2020-05-18 10:25:32,684): root - Fetching t0 for <2689>
    INFO (2020-05-18 10:25:32,685): root - Found t0 for <2689>. t0 = 2453637.4
    INFO (2020-05-18 10:25:32,770): root - Formatted table for <2689> is empty
    INFO (2020-05-18 10:25:32,796): root - snid forcez=0.160352 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2689_0.10.dat
   DEBUG (2020-05-18 10:25:33,774): root - Finished with target


    INFO (2020-05-18 10:25:33,774): root - Fetching data for <2789>
   DEBUG (2020-05-18 10:25:34,100): root - Formatting table for <2789>
   DEBUG (2020-05-18 10:25:34,100): root - Fetching t0 for <2789>
    INFO (2020-05-18 10:25:34,101): root - Found t0 for <2789>. t0 = 2453636.7
    INFO (2020-05-18 10:25:34,156): root - Formatted table for <2789> is empty
    INFO (2020-05-18 10:25:34,172): root - snid forcez=0.288898 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2789_3.80.dat
   DEBUG (2020-05-18 10:25:35,135): root - Finished with target


    INFO (2020-05-18 10:25:35,135): root - Fetching data for <2916>
   DEBUG (2020-05-18 10:25:35,777): root - Formatting table for <2916>
   DEBUG (2020-05-18 10:25:35,777): root - Fetching t0 for <2916>
    INFO (2020-05-18 10:25:35,778): root - Found t0 for <2916>. t0 = 2453644.4
    INFO (2020-05-18 10:25:35,935): root - Formatted table for <2916> is empty
    INFO (2020-05-18 10:25:35,980): root - snid forcez=0.12303 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2916_-5.90.dat
   DEBUG (2020-05-18 10:25:37,003): root - Finished with target


    INFO (2020-05-18 10:25:37,004): root - Fetching data for <2916>
   DEBUG (2020-05-18 10:25:37,651): root - Formatting table for <2916>
   DEBUG (2020-05-18 10:25:37,651): root - Fetching t0 for <2916>
    INFO (2020-05-18 10:25:37,652): root - Found t0 for <2916>. t0 = 2453644.4
    INFO (2020-05-18 10:25:37,811): root - Formatted table for <2916> is empty
    INFO (2020-05-18 10:25:37,811): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2916_-5.90_snid.output
   DEBUG (2020-05-18 10:25:37,827): root - Finished with target


    INFO (2020-05-18 10:25:37,827): root - Fetching data for <2916>
   DEBUG (2020-05-18 10:25:38,461): root - Formatting table for <2916>
   DEBUG (2020-05-18 10:25:38,462): root - Fetching t0 for <2916>
    INFO (2020-05-18 10:25:38,463): root - Found t0 for <2916>. t0 = 2453644.4
    INFO (2020-05-18 10:25:38,616): root - Formatted table for <2916> is empty
    INFO (2020-05-18 10:25:38,617): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2916_-5.90_snid.output
   DEBUG (2020-05-18 10:25:38,632): root - Finished with target


    INFO (2020-05-18 10:25:38,632): root - Fetching data for <2943>
   DEBUG (2020-05-18 10:25:38,735): root - Formatting table for <2943>
   DEBUG (2020-05-18 10:25:38,735): root - Fetching t0 for <2943>
    INFO (2020-05-18 10:25:38,736): root - Found t0 for <2943>. t0 = 2453640.9
    INFO (2020-05-18 10:25:38,755): root - Formatted table for <2943> is empty
    INFO (2020-05-18 10:25:38,761): root - snid forcez=0.264048 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2943_11.60.dat
   DEBUG (2020-05-18 10:25:39,720): root - Finished with target


    INFO (2020-05-18 10:25:39,720): root - Fetching data for <2992>
   DEBUG (2020-05-18 10:25:40,222): root - Formatting table for <2992>
   DEBUG (2020-05-18 10:25:40,222): root - Fetching t0 for <2992>
    INFO (2020-05-18 10:25:40,223): root - Found t0 for <2992>. t0 = 2453641.7
    INFO (2020-05-18 10:25:40,314): root - Formatted table for <2992> is empty
    INFO (2020-05-18 10:25:40,326): root - snid forcez=0.126077 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2992_8.80.dat
   DEBUG (2020-05-18 10:25:41,306): root - Finished with target


    INFO (2020-05-18 10:25:41,306): root - Fetching data for <2992>
   DEBUG (2020-05-18 10:25:41,799): root - Formatting table for <2992>
   DEBUG (2020-05-18 10:25:41,799): root - Fetching t0 for <2992>
    INFO (2020-05-18 10:25:41,800): root - Found t0 for <2992>. t0 = 2453641.7
    INFO (2020-05-18 10:25:41,887): root - Formatted table for <2992> is empty
    INFO (2020-05-18 10:25:41,887): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2992_8.80_snid.output
   DEBUG (2020-05-18 10:25:41,897): root - Finished with target


    INFO (2020-05-18 10:25:41,897): root - Fetching data for <3080>
   DEBUG (2020-05-18 10:25:42,673): root - Formatting table for <3080>
   DEBUG (2020-05-18 10:25:42,674): root - Fetching t0 for <3080>
    INFO (2020-05-18 10:25:42,675): root - Found t0 for <3080>. t0 = 2453648.1
    INFO (2020-05-18 10:25:42,845): root - Formatted table for <3080> is empty
