    INFO (2020-05-18 14:27:16,409): root - Formatted table for <16789> has 1 spectra
    INFO (2020-05-18 14:27:16,422): root - snid forcez=0.324037 emclip=0.324037 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16789_6.00.dat
   DEBUG (2020-05-18 14:27:17,423): root - Finished with target


    INFO (2020-05-18 14:27:17,423): root - Fetching data for <18787> (27 / 500)
   DEBUG (2020-05-18 14:27:17,560): root - Formatting table for <18787>
   DEBUG (2020-05-18 14:27:17,561): root - Fetching t0 for <18787>
    INFO (2020-05-18 14:27:17,563): root - Found t0 for <18787>. t0 = 2454387.7
    INFO (2020-05-18 14:27:17,589): root - Formatted table for <18787> has 1 spectra
    INFO (2020-05-18 14:27:17,599): root - snid forcez=0.189141 emclip=0.189141 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/18787_-0.20.dat
   DEBUG (2020-05-18 14:27:18,504): root - Finished with target


    INFO (2020-05-18 14:27:18,504): root - Fetching data for <12781> (28 / 500)
   DEBUG (2020-05-18 14:27:18,668): root - Formatting table for <12781>
   DEBUG (2020-05-18 14:27:18,668): root - Fetching t0 for <12781>
    INFO (2020-05-18 14:27:18,670): root - Found t0 for <12781>. t0 = 2453980.0
    INFO (2020-05-18 14:27:18,694): root - Formatted table for <12781> has 1 spectra
    INFO (2020-05-18 14:27:18,702): root - snid forcez=0.082817 emclip=0.082817 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/12781_11.50.dat
   DEBUG (2020-05-18 14:27:19,613): root - Finished with target


    INFO (2020-05-18 14:27:19,614): root - Fetching data for <20862> (29 / 500)
   DEBUG (2020-05-18 14:27:19,735): root - Formatting table for <20862>
   DEBUG (2020-05-18 14:27:19,735): root - Fetching t0 for <20862>
    INFO (2020-05-18 14:27:19,736): root - t0 not available for <20862>
   DEBUG (2020-05-18 14:27:19,736): root - Finished with target


    INFO (2020-05-18 14:27:19,736): root - Fetching data for <13174> (30 / 500)
   DEBUG (2020-05-18 14:27:19,990): root - Formatting table for <13174>
   DEBUG (2020-05-18 14:27:19,990): root - Fetching t0 for <13174>
    INFO (2020-05-18 14:27:19,992): root - Found t0 for <13174>. t0 = 2454000.4
    INFO (2020-05-18 14:27:20,070): root - Formatted table for <13174> has 1 spectra
    INFO (2020-05-18 14:27:20,097): root - snid forcez=0.234759 emclip=0.234759 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/13174_-4.90.dat
   DEBUG (2020-05-18 14:27:21,033): root - Finished with target


    INFO (2020-05-18 14:27:21,034): root - Fetching data for <19953> (31 / 500)
   DEBUG (2020-05-18 14:27:21,375): root - Formatting table for <19953>
   DEBUG (2020-05-18 14:27:21,375): root - Fetching t0 for <19953>
    INFO (2020-05-18 14:27:21,377): root - Found t0 for <19953>. t0 = 2454415.7
    INFO (2020-05-18 14:27:21,487): root - Formatted table for <19953> has 3 spectra
    INFO (2020-05-18 14:27:21,496): root - snid forcez=0.121896 emclip=0.121896 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/19953_-8.20.dat
    INFO (2020-05-18 14:27:22,412): root - snid forcez=0.121896 emclip=0.121896 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/19953_3.80.dat
    INFO (2020-05-18 14:27:23,186): root - snid forcez=0.121896 emclip=0.121896 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/19953_13.80.dat
   DEBUG (2020-05-18 14:27:24,111): root - Finished with target


    INFO (2020-05-18 14:27:24,112): root - Fetching data for <19155> (32 / 500)
   DEBUG (2020-05-18 14:27:24,893): root - Formatting table for <19155>
   DEBUG (2020-05-18 14:27:24,893): root - Fetching t0 for <19155>
    INFO (2020-05-18 14:27:24,895): root - Found t0 for <19155>. t0 = 2454400.1
    INFO (2020-05-18 14:27:25,086): root - Formatted table for <19155> has 2 spectra
    INFO (2020-05-18 14:27:25,095): root - snid forcez=0.076639 emclip=0.076639 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/19155_-12.60.dat
    INFO (2020-05-18 14:27:26,036): root - snid forcez=0.076639 emclip=0.076639 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/19155_-7.60.dat
   DEBUG (2020-05-18 14:27:26,967): root - Finished with target


    INFO (2020-05-18 14:27:26,968): root - Fetching data for <12874> (33 / 500)
   DEBUG (2020-05-18 14:27:27,093): root - Formatting table for <12874>
   DEBUG (2020-05-18 14:27:27,093): root - Fetching t0 for <12874>
    INFO (2020-05-18 14:27:27,095): root - Found t0 for <12874>. t0 = 2453984.2
    INFO (2020-05-18 14:27:27,122): root - Formatted table for <12874> has 1 spectra
    INFO (2020-05-18 14:27:27,132): root - snid forcez=0.243508 emclip=0.243508 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/12874_7.30.dat
   DEBUG (2020-05-18 14:27:28,328): root - Finished with target


    INFO (2020-05-18 14:27:28,329): root - Fetching data for <16619> (34 / 500)
   DEBUG (2020-05-18 14:27:28,718): root - Formatting table for <16619>
   DEBUG (2020-05-18 14:27:28,718): root - Fetching t0 for <16619>
    INFO (2020-05-18 14:27:28,719): root - t0 not available for <16619>
   DEBUG (2020-05-18 14:27:28,719): root - Finished with target


    INFO (2020-05-18 14:27:28,720): root - Fetching data for <1112> (35 / 500)
   DEBUG (2020-05-18 14:27:28,881): root - Formatting table for <1112>
   DEBUG (2020-05-18 14:27:28,881): root - Fetching t0 for <1112>
    INFO (2020-05-18 14:27:28,882): root - Found t0 for <1112>. t0 = 2453630.5
    INFO (2020-05-18 14:27:28,902): root - Formatted table for <1112> has 1 spectra
    INFO (2020-05-18 14:27:28,909): root - snid forcez=0.256085 emclip=0.256085 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1112_9.00.dat
   DEBUG (2020-05-18 14:27:29,888): root - Finished with target


    INFO (2020-05-18 14:27:29,888): root - Fetching data for <13370> (36 / 500)
   DEBUG (2020-05-18 14:27:30,033): root - Formatting table for <13370>
   DEBUG (2020-05-18 14:27:30,034): root - Fetching t0 for <13370>
    INFO (2020-05-18 14:27:30,037): root - Found t0 for <13370>. t0 = 2453988.5
    INFO (2020-05-18 14:27:30,064): root - Formatted table for <13370> has 1 spectra
    INFO (2020-05-18 14:27:30,078): root - snid forcez=0.197858 emclip=0.197858 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/13370_12.00.dat
   DEBUG (2020-05-18 14:27:31,012): root - Finished with target


    INFO (2020-05-18 14:27:31,012): root - Fetching data for <19002> (37 / 500)
   DEBUG (2020-05-18 14:27:31,120): root - Formatting table for <19002>
   DEBUG (2020-05-18 14:27:31,120): root - Fetching t0 for <19002>
    INFO (2020-05-18 14:27:31,122): root - Found t0 for <19002>. t0 = 2454393.7
    INFO (2020-05-18 14:27:31,141): root - Formatted table for <19002> has 1 spectra
    INFO (2020-05-18 14:27:31,148): root - snid forcez=0.270097 emclip=0.270097 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/19002_-4.20.dat
   DEBUG (2020-05-18 14:27:32,072): root - Finished with target


    INFO (2020-05-18 14:27:32,072): root - Fetching data for <18945> (38 / 500)
   DEBUG (2020-05-18 14:27:32,188): root - Formatting table for <18945>
   DEBUG (2020-05-18 14:27:32,188): root - Fetching t0 for <18945>
