cid,class,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
16943,AGN,0,0.348549,54015.92574850793,1.1990937166087717e-09,nan,0.7737076775702008,3.620856675341621e-11,997.5636108006775,58,Minimization exited successfully.
16945,pSNIa,1,0.42117767725969113,54040.54989887903,5.58480412247902e-10,0.04369183045119407,0.9759402794443304,3.6889212591359e-11,74.40389269575178,60,Minimization exited successfully.
16946,pSNIa,1,0.13584815067376685,54034.7809352082,4.608939402045413e-10,0.03713329745639245,1.1393343505660596,3.711790742470949e-11,65.19504103071588,51,Minimization exited successfully.
16947,Variable,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
16950,pSNIa,1,0.3953723144814006,54052.523942229825,4.816242376376808e-10,0.6799111509798584,247.57644426240586,3.166833069042261,227.3759928418179,68,Covariance may not be accurate.
16952,zSNII,0,0.235486,54046.464535824685,3.1298452093229264e-10,nan,1.4038961338483205,5.1080897298654944e-11,107.03871090494457,67,Minimization exited successfully.
16953,SNIa,0,0.339207,54041.46801743351,4.916840371802496e-10,nan,1.2403926581901032,3.7952540001446126e-11,53.556436531539354,67,Minimization exited successfully.
16954,Unknown,1,0.2536233666577776,54049.44068982675,8.149499122455937e-10,0.03314535803534986,0.706599282744719,6.299043938004362e-11,59.362530507052206,66,Minimization exited successfully.
16956,SNIa,0,0.1087,54049.646242066585,2.4905628171994447e-09,nan,0.4041761450826016,1.169240917550276e-10,59.47736895951031,21,Minimization exited successfully.
16957,pSNII,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
16958,pSNIa,1,0.4123919858202448,54038.537027702565,4.825758923921158e-10,0.028880754710707307,1.0977726757300843,3.0575462902474725e-11,49.725441567329725,66,Minimization exited successfully.
16959,Variable,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
16960,Unknown,1,0.5255720028813776,54002.75308155717,2.4882563135030197e-10,0.02568386133863146,1.6299621842808847,3.653287635983859e-11,1062.6775197861093,72,Minimization exited successfully.
16962,Unknown,0,0.118515,54040.96875813699,3.738280282555959e-11,nan,6.229173493367853,4.021975279069383e-11,293.06395802918195,76,Minimization exited successfully.
16964,Unknown,1,0.7581342739148559,54042.96177252507,9.30149759396824e-11,0.7380290073693857,228.5234858594522,2.3639095075918446,415.97822278437553,69,Covariance may not be accurate.
16966,pSNII,1,0.43940291093670647,53964.76425711723,1.1880637383636096e-07,0.004181790888660247,0.06085904400606523,7.59161971293492e-10,32413.621931362206,60,Minimization exited successfully.
16968,Variable,0,0.10419,53965.34383260474,1.0808392375246088e-09,nan,0.6764029092191777,7.475387847059864e-11,275.5604519414542,67,Minimization exited successfully.
16970,Variable,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
16972,pSNII,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
16973,pSNIa,1,0.4384019414775495,54035.65461632787,5.811827864775271e-10,0.023259256431935493,1.1668453333222715,3.804615152498228e-11,74.63148604440487,66,Minimization exited successfully.
16975,zSNIa,0,0.361016,54038.48270755542,3.812597550146951e-10,nan,1.0682151656110364,2.8134737138743006e-11,173.51229050726047,70,Minimization exited successfully.
16976,pSNIbc,1,0.41271483498489925,54039.32425851857,4.396457901661888e-10,0.027074651103823427,0.8375786821889051,2.5801902910014838e-11,99.98665297721315,76,Minimization exited successfully.
16977,zSNIa,0,0.384021,54031.004419023426,6.145500797740226e-10,nan,0.8528237734826689,3.635949580768229e-11,104.51595826478636,70,Minimization exited successfully.
16978,AGN,0,0.151558,54046.18219458669,3.1649273770082684e-10,nan,2.1576737033756217,4.498501555318533e-11,148.10832694484034,67,Minimization exited successfully.
16979,Unknown,0,0.107624,54053.80644330447,1.960634541582156e-09,nan,0.2917766067075718,1.0574491298542605e-10,120.4147482064349,73,Minimization exited successfully.
16981,pSNIa,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
16982,pSNII,1,0.02964032061290528,54001.69879150177,3.388386171336351e-10,0.01946615202655611,0.6966428416490089,2.5605223548518313e-11,259.9912734304186,129,Minimization exited successfully.
16984,pSNII,1,0.4348628831181433,54034.335144958386,5.328382385943568e-10,0.02868291495499209,0.7862067770183785,3.4566826040764035e-11,163.61478675627635,69,Minimization exited successfully.
16988,SNIb,0,0.05834,54054.80746973784,4.092318524552946e-09,nan,0.21674790231554653,2.2199332197186225e-10,140.7146453459829,64,Minimization exited successfully.
16991,pSNII,1,0.02430525556961108,54042.74404607316,3.903474564409554e-10,0.039310281203531805,1.1907264988985844,3.7500461139127366e-11,157.38024835644694,63,Minimization exited successfully.
16992,AGN,0,0.534141,54042.10643902136,6.42667239401042e-10,nan,1.0322196126398921,7.646757149315929e-11,91.92659996841536,64,Minimization exited successfully.
16994,Unknown,1,0.4156742031792581,54041.26740490629,6.772425868950856e-10,0.036334952496292816,1.432840589328407,6.031719793346064e-11,56.9892672526519,63,Minimization exited successfully.
16995,AGN,0,0.38859,54020.52276118541,-5.528267627114957e-10,nan,1.03016743356784,3.866501026646239e-11,466.8017520477961,70,Minimization exited successfully.
