type,ntemp,fraction,slope,redshift,redshift_error,age,age_error,obj_id,phase
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ia,23,1.0,0.0,0.2886,0.0057,7.8,3.268,2165,6.7000000001862645
Ia-norm,21,0.91,-0.03,0.2885,0.0051,7.8,3.282,2165,6.7000000001862645
Ia-91T,2,0.09,0.0266,0.3002,0.003,6.15,4.313,2165,6.7000000001862645
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
II,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,2165,6.7000000001862645
Ia,2,1.0,0.0,0.1972,0.0091,3.45,3.748,2246,3.7999999998137355
Ia-norm,1,0.5,0.0,0.1907,0.0,6.1,0.0,2246,3.7999999998137355
Ia-91T,1,0.5,0.0,0.2036,0.0,0.8,0.0,2246,3.7999999998137355
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
II,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ia,2,1.0,0.0,0.1972,0.0091,3.45,3.748,2246,3.7999999998137355
Ia-norm,1,0.5,0.0,0.1907,0.0,6.1,0.0,2246,3.7999999998137355
Ia-91T,1,0.5,0.0,0.2036,0.0,0.8,0.0,2246,3.7999999998137355
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
II,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,2246,3.7999999998137355
Ia,10,1.0,-0.0,0.149,0.0064,5.2,3.21,2308,6.5
Ia-norm,7,0.7,0.1186,0.1475,0.0016,6.4,3.269,2308,6.5
Ia-91T,2,0.2,0.0,0.1623,0.0056,1.75,1.344,2308,6.5
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ia-pec,1,0.1,0.0,0.1497,0.0,4.3,0.0,2308,6.5
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
II,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,2308,6.5
Ia,15,1.0,0.0,0.2178,0.0067,5.5,4.192,2330,5.600000000093132
Ia-norm,15,1.0,0.0,0.2178,0.0067,5.5,4.192,2330,5.600000000093132
Ia-91T,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
II,0,0.0,0.0,0.0,0.0,0.0,0.0,2330,5.600000000093132
