#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2004hw  0.059   0    2.600    0.000      NaN      NaN      NaN      NaN    7.768   53265.363  0.778
    sn2004hy  0.057   1    2.513    0.100    1.201    0.062   20.154    0.056    5.297   53267.648  0.912
    sn2004hu  0.047   0    0.936    0.034    0.341    0.097   18.848    0.058    3.074   53264.122  0.196
    sn2004hx  0.037   1    2.507    0.027    0.268    0.054   17.203    0.015  148.480   53279.249  0.134
    sn2004id  0.149   1    1.685    0.017   -0.117    0.016   19.627    0.018   19.028   53296.531  0.119
    sn2004ib  0.055   1    1.565    0.035    1.014    0.053   20.438    0.018    3.236   53291.420  0.196
    sn2004ht  0.064   1    2.600   -0.000      NaN      NaN      NaN      NaN    6.202   53279.618  0.591
    sn2004if  0.321   1    1.258    0.064    0.018    0.070   21.430    0.057    2.178   53292.333  0.587
    sn2004ia  0.143   1    1.730    0.015   -0.196    0.013   19.471    0.016    9.216   53286.085  0.102
    sn2004ie  0.050   1    1.468    0.027    0.196    0.057   17.507    0.020   45.124   53294.851  0.124
    sn2004ic  0.092   1    1.864    0.069    0.135    0.129   20.295    0.041    5.948   53293.292  0.427
    sn2004ih  0.152   1    1.444    0.019   -0.148    0.022   19.952    0.021    6.595   53304.574  0.126
    sn2004ig  0.182   1    1.363    0.032   -0.282    0.037   20.359    0.045    4.675   53306.859  0.270
    sn2004io  0.148   0    1.369    0.140   -0.066    0.026   19.807    0.085    0.842   53317.527  1.618
    sn2004ii  0.196   0    1.835    0.300   -0.190    0.047   20.543    0.165    1.495   53319.748  3.830
    sn2004im  0.135   0    1.020    0.116    0.011    0.027   19.831    0.072    0.524   53315.743  1.267
    sn2004il  0.106   0    1.272    1.316      NaN      NaN      NaN      NaN    4.376   53318.512 17.890
    sn2004in  0.159   0    1.080    0.165    0.057    0.034   20.285    0.119    1.703   53316.891  2.023
    sn2004ik  0.168   0    0.400   -0.000      NaN      NaN      NaN      NaN    0.682   53315.218  0.307
    sn2004ij  0.217   0    1.459    0.356   -0.001    0.116   20.812    0.635    0.349   53324.781  5.718
    sn2005ed  0.086   0    1.214    0.059    0.340    0.103   19.269    0.062    1.647   53618.631  0.393
    sn2005ef  0.108   1    0.795    0.055    0.834    0.057   19.419    0.053    1.566   53618.222  0.396
    sn2005ei  0.128   1    1.505    0.086    0.970    0.055   19.656    0.043    1.436   53617.079  0.625
    sn2005eg  0.191   1    1.470    0.042   -0.346    0.031   20.393    0.035    6.845   53625.774  0.255
    sn2005ex  0.093   1    0.937    0.042    0.872    0.055   19.034    0.045    3.812   53618.849  0.271
    sn2005ez  0.130   1    0.971    0.028    0.668    0.041   20.776    0.049   14.560   53625.384  0.235
    sn2005fg  0.258   1    1.297    0.166    0.228    0.204   21.155    0.106    0.930   53629.576  0.816
    sn2005fc  0.298   1    0.811    0.076    0.194    0.103   21.404    0.087    2.255   53627.359  0.594
    SDSS1166  0.382   1    1.336    0.134    0.061    0.062   22.001    0.080    0.718   53631.421  0.820
    sn2005ff  0.090   1    1.229    0.021    0.928    0.054   19.097    0.025   12.291   53634.126  0.142
    sn2005fd  0.263   1    0.946    0.070    0.138    0.094   21.038    0.072    2.359   53631.925  0.365
    sn2005fe  0.217   1    0.831    0.056   -0.601    0.050   20.651    0.049    3.104   53624.484  0.494
    sn2005fh  0.119   1    1.433    0.021    0.966    0.053   18.779    0.019   30.089   53632.676  0.110
    sn2005fb  0.184   1    1.612    0.042   -0.319    0.029   20.047    0.052    3.164   53634.201  0.199
    SDSS1688  0.359   1    1.461    0.213    0.225    0.105   22.222    0.105    1.167   53630.628  1.272
    sn2005fj  0.142   1    1.110    0.037    0.092    0.026   19.964    0.039   11.568   53627.002  0.218
    sn2005fo  0.263   1    1.463    0.087    0.265    0.077   21.132    0.061    1.111   53634.837  0.623
    sn2005fl  0.234   1    0.784    0.071    0.980    0.125   22.104    0.087    9.770   53624.236  0.736
    sn2005fm  0.153   1    1.453    0.021   -0.200    0.021   19.503    0.028    7.874   53636.115  0.138
    sn2005fn  0.095   1    1.306    0.031    0.735    0.100   18.709    0.030   24.861   53625.395  0.221
    sn2005fr  0.288   1    1.393    0.072    0.422    0.100   21.261    0.051    1.319   53634.114  0.473
    sn2005fy  0.195   1    1.074    0.051   -0.023    0.047   20.824    0.064    8.832   53633.757  0.245
    sn2005ey  0.148   1    1.558    0.018   -0.383    0.016   19.416    0.018   11.387   53630.839  0.123
    sn2005fp  0.213   1    0.881    0.155   -0.613    0.272   25.253    0.321    1.614   53675.059  1.676
    sn2005ft  0.180   1    1.470    0.035   -0.382    0.026   20.238    0.031    2.226   53637.005  0.229
    sn2005fi  0.265   1    1.558    0.041    0.209    0.054   21.009    0.038    2.287   53639.490  0.356
    sn2005fu  0.191   1    1.008    0.037   -0.237    0.038   20.649    0.054   25.353   53635.618  0.235
    sn2005fs  0.340   1    1.625    0.103    0.197    0.076   21.684    0.070    1.009   53640.220  0.741
    sn2005fv  0.118   1    1.426    0.025    0.955    0.054   19.616    0.029    5.416   53639.255  0.181
    sn2005fw  0.144   1    1.506    0.021   -0.059    0.020   19.700    0.034    3.121   53639.793  0.164
    sn2005fa  0.161   1    1.724    0.034   -0.134    0.027   20.000    0.032    3.879   53636.784  0.221
    sn2005fx  0.290   1    1.193    0.053    0.195    0.077   21.476    0.065    2.040   53635.744  0.471
    sn2005fz  0.124   1    1.484    0.048    0.173    0.154   20.213    0.051    2.277   53643.274  0.350
    sn2005go  0.265   1    1.414    0.063    0.402    0.062   21.178    0.043    1.821   53639.883  0.589
    sn2005gp  0.127   1    0.403    0.035    0.707    0.056   19.881    0.057   20.773   53641.903  0.108
    sn2005ga  0.174   1    1.426    0.025   -0.238    0.022   20.031    0.026    3.193   53647.280  0.141
    sn2005gc  0.166   1    1.474    0.021   -0.139    0.023   20.036    0.026    4.454   53648.293  0.146
    sn2005gs  0.251   1    1.321    0.041    0.427    0.062   21.478    0.043    4.305   53646.190  0.351
    sn2005hn  0.108   1    0.826    0.061    0.826    0.058   19.252    0.074    3.661   53658.307  0.281
    sn2005gd  0.161   1    1.212    0.016   -0.052    0.024   20.165    0.022    3.158   53645.728  0.162
    sn2005gr  0.245   1    1.636    0.047    0.529    0.065   20.495    0.043    1.265   53646.476  0.333
    sn2005gf  0.250   1    1.484    0.038    0.326    0.066   20.729    0.037    2.040   53645.895  0.325
    sn2005gg  0.231   1    1.447    0.032   -0.724    0.037   20.465    0.042    4.119   53648.523  0.263
    sn2005gb  0.087   1    1.345    0.012    0.461    0.061   18.710    0.015   44.811   53644.898  0.056
    sn2005ho  0.063   1    1.685    0.004    0.302    0.055   18.032    0.009   33.739   53657.450  0.034
    sn2005gt  0.278   1    0.979    0.091    0.182    0.101   21.812    0.085    2.243   53641.836  0.760
    sn2005gw  0.277   1    1.549    0.053    0.398    0.098   21.247    0.051    1.152   53646.616  0.474
    sn2005gu  0.332   1    1.170    0.306      NaN      NaN   25.115    0.469    2.683   53695.793  4.646
    sn2005gj  0.062   1    1.689    0.002    0.168    0.057   16.373    0.041 1465.832   53658.354  0.024
    sn2005gy  0.332   1    1.669    0.081    0.450    0.083   21.996    0.066    0.977   53654.463  0.703
    sn2005gx  0.162   1    1.484    0.024   -0.108    0.025   20.181    0.027    1.845   53654.982  0.159
    sn2005gq  0.390   1    0.876    0.089   -0.106    0.074   22.631    0.116    1.827   53642.172  0.991
    sn2005hp  0.175   1    1.460    0.045   -0.186    0.043   20.300    0.078    1.987   53658.901  0.292
    sn2005hs  0.301   1    1.258    0.111    0.193    0.105   22.187    0.139    4.098   53656.189  0.745
    sn2005hr  0.117   1    1.697    0.026    1.021    0.054   19.319    0.026    8.769   53665.815  0.198
    sn2005hu  0.220   1    1.294    0.042   -0.491    0.029   20.946    0.037    4.746   53668.785  0.310
    sn2005hx  0.121   1    1.589    0.017    0.348    0.082   19.598    0.018    6.271   53666.655  0.104
    sn2005hy  0.156   1    1.699    0.019   -0.220    0.013   19.720    0.014    4.539   53671.367  0.132
    sn2005hw  0.411   1    1.450    0.085    0.022    0.064   22.481    0.090    1.001   53662.388  0.928
    sn2005hv  0.180   1    1.545    0.054   -0.158    0.039   20.873    0.048    3.303   53663.193  0.332
    sn2005ia  0.252   1    1.745    0.034    0.459    0.063   21.136    0.032    1.951   53665.334  0.323
    sn2005jz  0.253   1    1.555    0.050    0.380    0.075   21.277    0.043    1.781   53666.797  0.303
    sn2005ib  0.393   1    1.637    0.089    0.154    0.092   22.257    0.075    0.908   53665.957  0.901
    sn2005hz  0.131   1    1.594    0.016    0.114    0.015   20.034    0.014    3.494   53666.306  0.104
    sn2005ic  0.311   1    1.419    0.085    0.273    0.076   22.034    0.063    5.978   53665.503  0.647
    sn2005hc  0.046   1    1.539    0.005    0.228    0.054   17.302    0.013   81.262   53667.822  0.028
    sn2005ie  0.280   1    1.588    0.068    0.426    0.106   21.259    0.053    1.013   53667.711  0.427
    sn2005it  0.310   1    1.503    0.081    0.287    0.102   21.730    0.085    1.202   53660.849  0.748
    sn2005ht  0.187   1    1.621    0.030   -0.421    0.028   20.227    0.045    1.960   53666.852  0.264
    sn2005if  0.067   1    1.458    0.018    0.959    0.056   18.790    0.039   24.687   53663.590  0.100
    sn2005ka  0.318   1    1.800    0.121    0.344    0.087   22.071    0.073    1.674   53664.690  1.036
    sn2005ih  0.260   1    1.221    0.046    0.320    0.062   21.305    0.041    1.567   53674.713  0.511
    sn2005iw  0.289   1    1.528    0.078    0.273    0.085   21.947    0.068    3.791   53668.321  0.716
    sn2005iv  0.300   1    0.880    0.075    0.197    0.081   21.348    0.062    2.404   53672.322  0.477
    sn2005jy  0.272   1    1.065    0.030    0.245    0.101   21.453    0.054    1.221   53673.325  0.407
    sn2005ig  0.281   1    1.072    0.042    0.273    0.073   21.457    0.051    2.332   53670.214  0.386
    sn2005ii  0.295   1    1.441    0.105    0.270    0.087   21.623    0.052    1.075   53674.225  0.718
    sn2005js  0.080   1    0.847    0.054    0.846    0.055   20.706    0.044    1.433   53664.748  0.339
    sn2005jk  0.191   1    1.336    0.040   -0.315    0.025   20.625    0.040    2.229   53673.325  0.236
    sn2005ix  0.267   1    1.389    0.038    0.339    0.112   20.545    0.050    1.753   53676.968  0.402
    sn2005ij  0.124   1    1.430    0.025    0.768    0.152   19.397    0.035    8.515   53674.929  0.124
    sn2005id  0.186   1    1.603    0.028   -0.598    0.019   19.921    0.024    6.061   53668.594  0.198
    sn2005hj  0.057   1    1.409    0.003    0.096    0.055   17.623    0.016   30.170   53674.607  0.059
    sn2005jd  0.314   1    1.686    0.103    0.296    0.096   21.378    0.054    0.819   53677.649  0.695
    sn2005ik  0.311   1    1.208    0.080    0.200    0.060   21.638    0.050    1.469   53674.506  0.456
    sn2005iu  0.090   1    1.158    0.029    0.889    0.057   18.682    0.045   71.942   53676.430  0.156
    sn2005iy  0.404   0    2.600    0.000      NaN      NaN      NaN      NaN    4.614   53451.195895.553
    sn2005iz  0.204   1    1.338    0.055   -0.448    0.045   20.759    0.066    1.446   53666.446  0.408
    sn2005ja  0.328   0    2.600    0.000      NaN      NaN      NaN      NaN   32.525   53526.029 39.822
    sn2005jc  0.213   1    1.525    0.037   -0.419    0.027   20.557    0.029    2.904   53680.516  0.263
    sn2005jl  0.180   1    1.421    0.040   -0.487    0.029   20.166    0.038    3.855   53680.341  0.311
    SDSS7017  0.269   1    1.997    0.020    0.114    0.025   20.342    0.016    8.616   53686.789  0.189
    sn2005jg  0.305   0    2.600    0.000      NaN      NaN      NaN      NaN   10.782   53235.306  0.000
    sn2005jh  0.110   1    1.239    0.023   -0.007    0.063   19.531    0.019    7.459   53679.736  0.192
    sn2005jm  0.205   1    1.602    0.043   -0.215    0.044   20.610    0.053    1.392   53686.962  0.324
    sn2005ji  0.216   1    1.500    0.043   -0.424    0.031   20.674    0.034    1.191   53680.482  0.302
    sn2005jn  0.322   1    1.319    0.046    0.271    0.078   21.220    0.041    1.226   53675.902  0.481
    sn2005jo  0.219   1    1.533    0.046   -0.493    0.042   20.776    0.049    1.254   53683.277  0.351
    sn2005jw  0.381   1    1.218    0.064    0.140    0.047   21.780    0.044    2.377   53673.790  0.478
    sn2005jp  0.213   1    1.383    0.044   -0.264    0.037   20.915    0.043    1.751   53681.987  0.383
    sn2005ir  0.076   1    1.460    0.008    0.273    0.058   18.298    0.014   45.621   53685.589  0.057
    sn2005jv  0.422   1    1.253    0.088    0.076    0.065   22.451    0.069    0.724   53677.293  1.006
    sn2005ju  0.259   1    1.539    0.059    0.343    0.077   21.397    0.046    0.382   53684.474  0.483
    sn2005hk  0.013   1    0.982    0.001    0.042    0.054   15.866    0.010  284.979   53682.065  0.022
    sn2005ko  0.186   1    1.406    0.042    0.058    0.045   20.990    0.052    1.013   53683.828  0.342
    sn2005mi  0.215   1    1.207    0.018   -1.333    0.101   20.026    0.242    6.537   53689.653  0.210
    sn2005jt  0.361   1    1.263    0.100    0.071    0.101   22.386    0.084    0.632   53683.195  1.131
    sn2005kp  0.118   1    1.495    0.012    0.332    0.091   19.274    0.018    4.547   53690.752  0.088
    sn2005ld  0.145   1    1.560    0.012   -0.385    0.031   19.593    0.067    3.946   53693.022  0.156
    sn2005le  0.254   0      NaN      NaN      NaN      NaN      NaN      NaN      NaN         NaN    NaN
    sn2005kq  0.391   1    0.975    0.063   -0.123    0.126   22.040    0.097    2.115   53683.143  0.846
    sn2005lg  0.350   1    1.637    0.100    0.271    0.090   21.936    0.080    0.975   53687.759  0.802
    sn2005li  0.258   1    1.606    0.082    0.353    0.119   21.365    0.085    0.773   53690.349  0.613
    sn2005lh  0.220   1    1.321    0.037   -0.379    0.067   20.894    0.061    1.476   53689.509  0.346
    sn2005lj  0.078   1    1.577    0.050    0.398    0.243   20.377    0.036    0.970   53696.012  0.362
    sn2005lk  0.104   1    1.520    0.028    0.201    0.088   19.206    0.036    3.211   53697.069  0.208
    sn2005ll  0.242   1    1.478    0.062    0.300    0.099   20.807    0.063    2.549   53699.390  0.669
    sn2005lf  0.301   1    1.642    0.062    0.494    0.093   21.808    0.076    0.822   53690.613  0.751
    sn2005ku  0.045   1    1.465    0.012    0.227    0.056   17.550    0.023    6.946   53698.406  0.068
    sn2005ml  0.118   1    1.249    0.016    0.037    0.065   19.059    0.016   11.342   53701.936  0.161
    sn2005mm  0.383   1    2.600   -0.000      NaN      NaN      NaN      NaN    4.969   53670.475  2.329
    sn2005ln  0.137   1    1.318    0.029    0.088    0.025   20.231    0.021    1.231   53699.072  0.297
    sn2005lo  0.299   1    0.967    0.032    0.133    0.137   21.511    0.076    1.503   53701.296  0.595
    sn2005lq  0.380   1    2.600    0.000      NaN      NaN      NaN      NaN    4.341   53662.252  1.702
    sn2005mp  0.273   0    2.118    0.292    0.289    0.208   21.310    0.178    0.958   53717.621  3.416
    sn2005lp  0.303   1    0.850    0.024   -0.033    0.096   22.154    0.078    1.092   53701.596  0.583
    sn2005mq  0.350   1    1.144    0.108    0.137    0.138   21.832    0.101    0.665   53704.883  2.024
    sn2006fd  0.080   1    1.019    0.081    0.866    0.067   19.244    0.071    3.442   53975.632  0.807
    sn2006eq  0.049   1    0.857    0.046    0.465    0.087   18.470    0.063    3.486   53978.074  0.198
    sn2006er  0.084   1    0.507    0.039    0.195    0.087   18.480    0.109    4.447   53978.264  0.157
    sn2006gk  0.293   1    0.541    0.075   -0.160    0.125   21.989    0.129    1.581   53990.809  0.551
    sn2006fa  0.167   1    1.488    0.071   -0.099    0.035   20.318    0.050    1.939   53982.230  0.307
    sn2006gm  0.245   1    0.607    0.072    0.115    0.074   21.136    0.148    2.539   53978.715  0.618
    sn2006ey  0.169   1    0.626    0.034   -0.199    0.038   19.208    0.095    5.728   53979.095  0.135
    sn2006fk  0.172   1    0.484    0.018    0.120    0.031   20.658    0.033   22.556   53997.543  0.126
    sn2006fl  0.172   1    1.634    0.043   -0.397    0.020   19.865    0.024    5.403   53996.919  0.291
    sn2006fc  0.122   1    0.400   -0.000      NaN      NaN      NaN      NaN  108.150   53996.305  1.100
    sn2006ge  0.280   1    1.626    0.315    0.970    0.362   25.074    0.217    1.576   54057.067  5.300
    sn2006gu  0.238   1    1.399    0.096    0.378    0.075   20.809    0.052    2.757   53980.852  0.544
    sn2006fr  0.307   1    0.708    0.141   -0.014    0.094   21.182    0.253    1.095   53979.723  0.467
    sn2006eb  0.018   0    1.715    0.052    0.652    0.098   17.172    0.036    1.404   53943.880  1.014
    sn2006fw  0.084   1    1.328    0.022    0.737    0.090   18.976    0.019   24.753   54002.583  0.087
    sn2006fv  0.132   1    0.570    0.008   -0.026    0.020   19.902    0.019   38.338   53993.926  0.073
    sn2006fj  0.190   1    1.465    0.060   -0.502    0.029   20.048    0.040    1.834   53991.194  0.546
    sn2006ew  0.140   1    0.557    0.050    0.286    0.033   19.415    0.124    5.451   53977.624  0.080
    sn2006ex  0.147   1    1.836    0.069   -0.130    0.020   19.983    0.036    2.644   53979.187  0.422
    sn2006fy  0.083   1    1.351    0.012    0.959    0.053   18.881    0.015   26.360   54000.259  0.061
    sn2006ff  0.235   1    1.208    0.108   -0.591    0.040   20.311    0.073    1.575   53980.600  0.452
    sn2006ft  0.258   1    1.331    0.144    0.197    0.078   21.066    0.093    1.870   53982.386  0.621
    sn2006gh  0.248   1    0.430    0.018   -0.047    0.074   21.126    0.061   14.067   53993.733  0.153
    sn2006gl  0.265   1    0.563    0.101   -0.128    0.098   21.604    0.155    4.025   53976.090  2.538
    sn2006fh  0.127   1    0.612    0.127    0.773    0.093   19.921    0.260    2.518   53978.375  0.829
    sn2006fx  0.224   1    1.709    0.057   -0.371    0.038   21.144    0.043    1.471   53992.415  0.516
    sn2006gn  0.104   1    1.290    0.037    0.591    0.102   19.506    0.019    5.600   53997.547  0.327
    sn2006fm  0.126   1    1.388    0.027    0.949    0.053   19.247    0.022   16.243   54003.288  0.117
    sn2006fn  0.181   1    1.290    0.063   -0.180    0.032   20.461    0.033    3.024   53995.539  0.532
    sn2006fu  0.199   1    1.692    0.050   -0.633    0.026   20.085    0.041    2.648   53987.695  0.245
    sn2006fi  0.231   1    0.400    0.000      NaN      NaN      NaN      NaN   10.401   53996.146  0.074
    sn2006gb  0.266   1    2.359    5.426      NaN      NaN      NaN      NaN    1.817   54068.026 55.980
    sn2006fz  0.105   1    1.218    0.012    0.934    0.053   19.240    0.012   23.923   54003.530  0.056
    sn2006go  0.372   1    1.070    0.131    0.016    0.069   22.370    0.078    2.133   53997.255  1.083
    sn2006gg  0.204   1    1.582    0.050   -0.611    0.022   20.300    0.027    3.254   54001.066  0.207
    sn2006gx  0.181   1    1.651    0.067   -0.192    0.040   20.963    0.047    1.738   53995.068  0.603
    sn2006he  0.215   1    1.701    0.058   -0.595    0.030   20.534    0.034    1.431   54003.939  0.329
    sn2006jf  0.282   1    1.228    0.554      NaN      NaN   24.588    0.373   11.887   54062.713  6.331
    sn2006hr  0.158   1    1.654    0.027   -0.037    0.020   20.074    0.030    2.486   54006.537  0.162
    sn2006gv  0.199   1    1.258    0.081   -0.399    0.045   20.855    0.046    2.128   53993.818  0.695
   SDSS13411  0.163   1    0.594    0.023    0.253    0.033   20.491    0.048   22.970   53999.132  0.161
    sn2006gp  0.213   1    0.935    0.085    0.077    0.076   21.745    0.066    1.186   53996.225  0.835
    sn2006hg  0.245   1    1.236    0.091    0.277    0.096   21.709    0.069    2.347   54001.010  0.471
    sn2006hh  0.237   1    1.119    0.051   -0.730    0.045   21.202    0.049    2.017   54002.979  0.253
    sn2006mn  0.299   1    1.733    0.220    0.279    0.114   22.491    0.089    2.841   54000.613  1.362
    sn2006hc  0.228   1    1.540    0.078   -1.333    0.038   20.673    0.043    2.609   53999.013  0.446
    sn2006hd  0.298   1    1.347    0.103    0.148    0.072   21.306    0.056    1.806   53997.910  0.559
    sn2006hf  0.210   1    1.359    0.050   -0.341    0.030   20.574    0.034   11.494   54004.316  0.304
    sn2006hs  0.252   1    0.940    0.077    0.084    0.092   21.877    0.083    4.375   54001.081  0.459
   SDSS13689  0.252   1    1.066    0.056    0.019    0.057   20.966    0.047   10.699   54003.206  0.336
    sn2006hj  0.227   1    1.610    0.069   -0.497    0.034   20.628    0.048    3.432   54004.919  0.407
    sn2006hv  0.150   1    1.662    0.016   -0.152    0.018   19.791    0.026    5.846   54015.931  0.115
    sn2006hk  0.289   1    1.229    0.086    0.259    0.061   21.209    0.041    3.603   53998.967  0.548
    sn2006hl  0.149   1    1.579    0.016   -0.150    0.016   19.621    0.018    8.396   54010.298  0.109
    sn2006hm  0.331   1    1.670    0.100    0.242    0.075   21.773    0.075    1.948   53992.392  0.904
    sn2006hp  0.247   1    1.437    0.036    0.384    0.069   20.812    0.033    4.203   54010.890  0.279
    sn2006jh  0.121   1    1.643    0.033    0.654    0.163   20.203    0.036    2.858   54014.409  0.194
    sn2006jg  0.331   1    1.044    0.116   -0.090    0.082   22.296    0.109    1.084   54004.627  0.858
