cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
7343,Unknown,0,0,18,18,18,0,0.872009,53691.95625322652,3.4676624416486336e-06,6.247059699990646,-0.361695073279867,nan,1.1520309249171987,5.296659802499123e-07,2.0975151469821465,0.05577300227158425,100.58382798413712,50,Minimization exited successfully.
7350,zSNIa,16,16,16,16,16,0,0.156223,53668.62335734161,3.254441836820166e-06,-2.684955429718156,0.5372718733914092,nan,2.036635088727053,5.510030674971199e-07,1.9484889049311118,0.1327624426573014,67.4434797087062,60,Minimization exited successfully.
7357,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7363,Unknown,16,16,16,16,16,0,0.180405,53679.92351304427,2.0766638866155078e-05,1.7302761600690064,0.2467322585108202,nan,0.4901031177432742,5.668169016346947e-07,0.5007140745237244,0.026143515856597365,303.37343374496186,60,Minimization exited successfully.
7364,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7365,zSNIa,0,20,20,20,20,0,0.393925,53666.50122750974,6.693074627456852e-06,2.11878830530909,-0.05887598543083541,nan,3.5708793271915056,4.444602839802856e-07,2.173244374707485,0.05640865695886817,68.10972977049906,76,Minimization exited successfully.
7372,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7373,zSNIa,20,20,20,20,20,0,0.280062,53683.94973123145,1.6772787618877936e-05,1.4515277692642867,-0.03736148998681195,nan,0.44153831621588324,5.501688319680362e-07,0.4861150761179888,0.02500800389055815,80.72134090911993,96,Minimization exited successfully.
7374,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7379,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7390,zSNII,17,17,17,17,17,0,0.370926,53674.76899984695,4.082180274006424e-06,10.1975825224651,-0.21258876736319907,nan,0.4737225033895811,4.3196541323297933e-07,3.3188714642515844,0.034870072626440464,183.06277306216498,81,Minimization exited successfully.
7392,Unknown,0,17,17,17,17,0,0.799913,53695.64404144617,3.0545343789078356e-06,0.6118609681069909,-0.42873898145793327,nan,0.6057081856451987,3.8804307027234575e-07,0.03577240954881501,0.021567471265027695,96.11043620784656,64,Minimization exited successfully.
7402,Unknown,38,37,38,38,38,0,0.286,53676.07476007334,1.0419785547438573e-05,-6.423936089350078,0.11673451490670488,nan,0.2521642075480486,2.7514987131624116e-07,0.4110320271200712,0.029471021727554877,240.34326320907394,185,Minimization exited successfully.
7404,zSNII,17,17,17,17,17,0,0.289015,53673.58566400545,8.257531727785148e-06,0.9344356138971263,-0.35930900504886426,nan,0.8877866136972443,3.795959596853713e-07,0.6757496656684,0.031004882400588317,94.3879823244632,81,Minimization exited successfully.
7406,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7408,Unknown,17,17,17,17,17,0,0.332281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
7410,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7412,zSNII,17,17,17,17,17,0,0.374888,53602.63121805852,5.8928539124788375e-06,0.512227199821106,-0.3896478575029727,nan,0.035547896859497996,6.089240041253896e-06,1.0051481178203103,1.004434893910791,538.9151489292933,81,Covariance may not be accurate.
7413,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7416,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7417,zSNII,17,17,17,17,17,0,0.355927,53676.063182574035,1.3264083765006039e-05,3.064314601350954,-0.2564941883482523,nan,0.6016943590948358,4.5949402569338343e-07,0.8888322151965835,0.021171738013452856,305.9828907345356,81,Minimization exited successfully.
7426,zSNII,20,20,20,20,20,0,0.384,53685.67169616914,7.489247003299416e-06,7.369192128810292,0.054430754042317085,nan,0.513764726172667,4.997075802669093e-07,1.0930396730056124,0.03242301361889124,268.23074177909746,96,Minimization exited successfully.
7431,Unknown,20,20,20,20,20,0,0.350266,53679.10373988369,9.60589102388033e-06,0.8011430353822568,0.009707626778328612,nan,0.8480578393646283,4.269977297810498e-07,0.8227149773953686,0.036989335261921115,83.03949466236085,96,Minimization exited successfully.
7435,Unknown,19,19,19,19,19,0,0.219521,53681.40072270795,2.7408978941704595e-06,5.906220693381687,1.017018205732591,nan,1.5515855539561016,3.757785409729813e-07,1.6429521608660116,0.10731135679590674,122.70431556290556,91,Minimization exited successfully.
7444,zSNIa,19,19,19,19,19,0,0.250355,53682.90657109753,1.3693428711381556e-05,0.9254680314099726,0.02689753916961182,nan,0.5024098169524223,4.634894676253539e-07,0.5110971731990247,0.03224431563373769,90.84759440673713,91,Minimization exited successfully.
7446,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7457,zSNIa,17,19,19,19,18,0,0.254504,53681.41503858767,8.542398661664895e-06,0.27452335345998147,0.34513595576366696,nan,0.9089525725285057,4.47288229110603e-07,0.8866196851627849,0.050676485596548124,100.60964490060259,88,Minimization exited successfully.
7460,zSNIa,18,18,18,18,18,0,0.249447,53676.12487238265,6.4382791065317775e-06,-1.0044260159224037,-0.1589948287431169,nan,0.9644955279218266,4.172488126857358e-07,1.31740354390965,0.06700250677801342,102.55140372855166,86,Minimization exited successfully.
7467,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7473,SNIa,16,16,16,16,16,0,0.216,53584.980471846124,2.1095783789483923e-10,-5.379999176242143,8.835238564010522,nan,0.7978625575888145,1.6514666891870185e-10,0.1468096706664431,0.46816357958895966,6950.791555835593,76,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
7475,SNIa,16,16,16,16,16,0,0.322,53676.543678346585,1.4945396430752354e-05,0.5771112021187748,-0.1328237547917196,nan,0.5327627232218219,4.4045030918378843e-07,0.5543493952385881,0.021331126011002077,80.68834583293365,76,Minimization exited successfully.
7479,zSNIa,16,16,16,16,16,0,0.227416,53679.797668713945,2.2298020886360396e-05,-0.594241572196094,0.17874058346197044,nan,0.329611391392973,5.245298241238821e-07,0.36038490451689315,0.02319320764477261,147.23395864405143,76,Minimization exited successfully.
