cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
7851,zSNII,0,21,0,0.571324,53681.45820879293,5.6843493153621364e-06,2.333165482955389,-0.19100023760461318,nan,1.052055947631743,4.760672469616213e-07,1.0659568547081206,0.025576585172378454,131.98163506208962,59,Minimization exited successfully.
7852,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7855,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7857,zSNIa,21,22,0,0.371262,53680.88073625002,6.401278629140377e-06,1.367743252944839,0.1917346679698555,nan,1.4953410397247353,6.095186249362317e-07,1.380586221442225,0.08746007543319319,49.49529088853292,60,Minimization exited successfully.
7858,Unknown,0,0,0,0.88597,53651.081486356044,3.122473479258258e-06,21.870019596451762,-0.4353613027014497,nan,0.501388913289702,4.937338329106337e-07,4.535621111013242,0.022302595489350017,385.4690232389611,68,Minimization exited successfully.
7864,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7876,SNIa,21,21,0,0.076023,53685.53592226442,0.00026412206875368654,0.21120608292226503,0.0018055721613265225,nan,0.05448389167577261,2.2158849656429275e-06,0.0720423970431763,0.011252084663155125,193.80363053482563,38,Minimization exited successfully.
7882,zSNIa,16,17,0,0.335924,53678.429574320755,1.3219689537547234e-05,1.6359542859308494,-0.08788749660025766,nan,0.7838334492480499,5.761123448454243e-07,0.734182037424047,0.03278483783552055,39.818010965989515,46,Minimization exited successfully.
7884,zSNIa,0,17,0,0.441372,53662.07379426534,8.36304542380784e-06,-0.08536243814407128,-0.21263240820940768,nan,0.9964419133102638,6.336273783716771e-07,0.8665496753290811,0.0483636002337725,22.279434945525153,47,Minimization exited successfully.
7887,Unknown,0,0,0,2.03351,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
7892,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7893,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7907,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7908,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7913,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7919,zSNIa,22,23,0,0.319315,53660.15776209408,6.1111905094098126e-06,1.4241155080784216,0.10792482412596238,nan,1.2351382033193659,9.180076107221561e-07,1.5876816973479282,0.17944968975905176,74.6657989400111,64,Minimization exited successfully.
7920,Unknown,42,43,0,0.071846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
7923,pSNIbc,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7924,Unknown,0,0,0,1.19083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
7932,Unknown,0,0,0,2.79467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7939,zSNIa,22,22,0,0.142024,53670.84349424652,2.3689784427844127e-06,-6.596890801102006,0.894747729369885,nan,1.0559330312535167,4.6402714343409736e-07,2.6096474302746127,0.22488254366265062,82.34983798138859,63,Minimization exited successfully.
7947,SNIa?,21,21,0,0.368,53668.50084190268,6.744058040626457e-06,-0.4340440989097974,-0.12671215613678907,nan,1.2739088109447039,6.096999255587577e-07,0.8843122466406604,0.06997894820320578,57.17601811027264,59,Minimization exited successfully.
7951,zSNII,21,21,0,0.119055,53682.25504721506,2.8457230517095303e-06,9.042455806805947,-0.3607134027900712,nan,1.2880664768490533,7.475548040281731e-07,4.509246193180549,0.08988361427653142,35.182635338333114,38,Minimization exited successfully.
7954,zSNIa,22,23,0,0.2553,53681.183812417294,1.39610583909145e-05,-1.007071418149506,-0.04937750364731608,nan,0.5046860325965099,5.703791936745637e-07,0.48372686635078177,0.04410213985465634,67.71999706579828,64,Minimization exited successfully.
7978,zSNII,22,23,0,0.118381,53682.20951495003,9.163342461306465e-06,7.9932039234109755,-0.3059732028575343,nan,0.44534738631773507,6.99211460629059e-07,1.2923018629504033,0.039133082146015886,49.09237560182078,41,Minimization exited successfully.
7983,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7985,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
