class,cid,num_points_91bg_proj_sdss_u1,num_points_91bg_proj_sdss_u2,num_points_91bg_proj_sdss_u3,num_points_91bg_proj_sdss_u4,num_points_91bg_proj_sdss_u5,num_points_91bg_proj_sdss_u6,num_points_91bg_proj_sdss_g1,num_points_91bg_proj_sdss_g2,num_points_91bg_proj_sdss_g3,num_points_91bg_proj_sdss_g4,num_points_91bg_proj_sdss_g5,num_points_91bg_proj_sdss_g6,num_points_91bg_proj_sdss_r1,num_points_91bg_proj_sdss_r2,num_points_91bg_proj_sdss_r3,num_points_91bg_proj_sdss_r4,num_points_91bg_proj_sdss_r5,num_points_91bg_proj_sdss_r6,num_points_91bg_proj_sdss_i1,num_points_91bg_proj_sdss_i2,num_points_91bg_proj_sdss_i3,num_points_91bg_proj_sdss_i4,num_points_91bg_proj_sdss_i5,num_points_91bg_proj_sdss_i6,num_points_91bg_proj_sdss_z1,num_points_91bg_proj_sdss_z2,num_points_91bg_proj_sdss_z3,num_points_91bg_proj_sdss_z4,num_points_91bg_proj_sdss_z5,num_points_91bg_proj_sdss_z6,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
Variable,5745,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062189,nan,nan,nan,nan,0.062189,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5751,0,0,0,0,20,16,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129282,nan,nan,nan,nan,0.129282,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,5754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0.789767,nan,nan,nan,nan,0.789767,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5776,0,0,15,0,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23722,nan,nan,nan,nan,0.23722,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,5785,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147069,nan,nan,nan,nan,0.147069,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5790,17,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230577,nan,nan,nan,nan,0.230577,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5793,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355759,nan,nan,nan,nan,0.355759,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5794,0,0,0,0,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047676,nan,nan,nan,nan,0.047676,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5796,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286449,nan,nan,nan,nan,0.286449,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5797,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259092,nan,nan,nan,nan,0.259092,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5801,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125638,nan,nan,nan,nan,0.125638,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5802,0,0,0,0,0,0,0,0,0,0,11,18,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0.299152,nan,nan,nan,nan,0.299152,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,18,0.6855,nan,nan,nan,nan,0.6855,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNII,5806,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122306,nan,nan,nan,nan,0.122306,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5807,0,0,0,0,0,19,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0.194027,nan,nan,nan,nan,0.194027,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa?,5821,0,0,0,0,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0.399403,nan,nan,nan,nan,0.399403,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5844,0,0,0,0,0,0,20,18,0,0,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309294,nan,nan,nan,nan,0.309294,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5846,0,18,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196366,nan,nan,nan,nan,0.196366,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,5856,0,0,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302011,nan,nan,nan,nan,0.302011,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5859,0,15,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238695,nan,nan,nan,nan,0.238695,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5866,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081332,nan,nan,nan,nan,0.081332,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,5867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,1.576691,nan,nan,nan,nan,1.576691,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5869,0,18,0,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15728,nan,nan,nan,nan,0.15728,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,5870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,17,0,0,0,0,1.419708,nan,nan,nan,nan,1.419708,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,5879,0,16,0,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152184,nan,nan,nan,nan,0.152184,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1.662657,nan,nan,nan,nan,1.662657,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5886,0,0,0,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355938,nan,nan,nan,nan,0.355938,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5890,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178575,nan,nan,nan,nan,0.178575,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5897,0,0,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367892,nan,nan,nan,nan,0.367892,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5909,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346141,nan,nan,nan,nan,0.346141,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
