class,cid,num_points_91bg_proj_sdss_u1,num_points_91bg_proj_sdss_u2,num_points_91bg_proj_sdss_u3,num_points_91bg_proj_sdss_u4,num_points_91bg_proj_sdss_u5,num_points_91bg_proj_sdss_u6,num_points_91bg_proj_sdss_g1,num_points_91bg_proj_sdss_g2,num_points_91bg_proj_sdss_g3,num_points_91bg_proj_sdss_g4,num_points_91bg_proj_sdss_g5,num_points_91bg_proj_sdss_g6,num_points_91bg_proj_sdss_r1,num_points_91bg_proj_sdss_r2,num_points_91bg_proj_sdss_r3,num_points_91bg_proj_sdss_r4,num_points_91bg_proj_sdss_r5,num_points_91bg_proj_sdss_r6,num_points_91bg_proj_sdss_i1,num_points_91bg_proj_sdss_i2,num_points_91bg_proj_sdss_i3,num_points_91bg_proj_sdss_i4,num_points_91bg_proj_sdss_i5,num_points_91bg_proj_sdss_i6,num_points_91bg_proj_sdss_z1,num_points_91bg_proj_sdss_z2,num_points_91bg_proj_sdss_z3,num_points_91bg_proj_sdss_z4,num_points_91bg_proj_sdss_z5,num_points_91bg_proj_sdss_z6,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
zSNIa,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,0.263798,nan,nan,nan,nan,0.263798,nan,nan,nan,nan,nan,nan,No data points with S/N > 5. Initial guessing failed.
SNIa,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.088477,53635.42500531651,0.00032030888457759926,-0.42297657245545806,0.12395779178786312,1.5e-05,0.10553253862235579,2.8103331269915706e-05,0.10052473999160559,0.06910443800555861,24.212792179820642,26,Minimization exited successfully.
SNIa,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0.261657,53635.53595898262,4.9160178772951226e-05,-0.9116102539121819,-0.013459468678455724,3.9e-05,0.845749490417802,4.50326380310687e-05,0.8312973441940752,0.7037291165279111,28.71039249904763,26,Minimization exited successfully.
SNIa,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0.215653,53620.97860331123,9.340637308974083e-06,0.21969765215480092,1.3000451215234365,2.4e-05,2.2129695129078755,9.047732880307047e-06,1.0203324404380056,0.6710366871573591,40.84989474316113,19,Minimization exited successfully.
zSNIa,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0.247914,53626.24497010379,0.002920422713438866,-2.1745284016662048,-3.557234309269931,1e-05,1.7888961652788566,0.003437909118889117,1.3882650949922752,0.9814568067657897,13.561424313541917,26,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
SNIa,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,19,0,0.117969,53633.22957514254,0.0003195077429853189,0.9537393581611927,0.05318544114823897,2.6e-05,0.1900196204551321,2.402561888784954e-05,0.13600947995266205,0.06048724699026105,61.47445757941243,26,Minimization exited successfully.
zSNIa,1378,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,0.124747,53627.17817918473,1.7511807964252322e-05,1.652790718815715,0.8004370703162671,1.4e-05,1.1987938632883015,3.859124798147645e-06,0.8987304180712846,0.16982902761298233,32.57079053470762,22,Minimization exited successfully.
zSNIa,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,17,0,0,0.335346,53623.58958208518,1.803791554417364e-05,1.2661174897419747,0.4529448016678852,6.8e-05,2.95490585612788,1.2410666867067489e-05,2.1017245000803655,0.592896170382407,18.332009107258354,21,Minimization exited successfully.
zSNIa,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,18,0,0.184968,53627.32228188475,2.1574446799241858e-20,-1.5031423059362674,23.206370406001003,2.1e-05,0.0,0.0,0.0,0.0,14.656418600041393,7,Hesse Failed. Covariance may not be accurate. Covariance not positive definite.
zSNIa,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,18,0,0.359741,53630.290859253015,1.0302042113588305e-05,-0.10710018393802546,0.9676346501111368,2.4e-05,2.2432292258163216,4.556298705688194e-06,1.3322147821976358,0.3783457404916164,22.452764280927422,27,Minimization exited successfully.
